battery_id,block,ocv_label_V,kind,timestamp,filename,rest_baseline_Vmean,ocv_window_Vpre,wakeup_load_1_sag_V,wakeup_load_1_R_int_mohm,wakeup_load_2_sag_V,wakeup_load_2_R_int_mohm,glow_plug_like_load_1_Vmean,driving_aux_load_1_V_mean,driving_aux_load_1_V_std,driving_aux_load_1_R_int_est_mohm,ramp_like_load_1_V_mean,ramp_like_load_1_V_std,ramp_like_load_1_R_int_est_mohm,crank_cold_V_pre,crank_cold_V_min,crank_cold_I_peak_A,crank_cold_V_sustained,crank_cold_R_int_apparent_mohm,crank_hot_V_pre,crank_hot_V_min,crank_hot_I_peak_A,crank_hot_V_sustained,crank_hot_R_int_apparent_mohm,recovery_after_cold_V_plus30s,recovery_after_hot_V_plus30s,alternator_charge_after_cold_Ah,alternator_charge_after_cold_ratio_pct,total_ah_discharged,total_ah_charged,run_duration_s,n_events,min_voltage,final_voltage,block_c5_capacity_ah,block_c5_reached_cutoff,cutoff_hit
unknown,,13.28,SoCsweep,2026-07-03 01:59:03.793611,SoCsweep_OCV13p28V_testday_bdps_2026-07-02_23-51-24.csv,13.24403970191443,13.227000000000002,0.09855973266499696,301.5322487891563,-0.03654126294687288,-327.35109248725087,13.112210467706015,13.155288418708238,0.1181884927619024,3578.8352931258487,13.10611027568922,0.013877656251391212,82.42157678064393,13.102,13.102,0.33,13.0988,0.0,13.1707,13.152,0.334,13.1398,55.98802395209828,13.152,13.168,0.02858842555555562,143.08788265958404,0.03955082166666664,0.02858842555555562,2065.184,13,13.094,13.177,,,False
unknown,,12.63,SoCsweep,2026-07-03 03:13:06.862617,SoCsweep_OCV12p63V_testday_bdps_2026-07-02_23-51-24.csv,12.655986507324593,12.671757499999998,2.281512990810361,503.17250773352697,-1.3739235549615785,-1354.7314506386488,10.202351893095768,10.567989142538977,0.6824304056183349,244.37913028104623,10.605839999999999,0.6289591039169399,359.224195756799,10.195800000000002,10.193,2.764,10.197399999999998,1.0130246020269018,12.602,10.193,3.595,10.197399999999998,670.0973574408903,12.535,12.585,0.19515236694444443,84.19603967433113,0.47664141027777845,0.19515236694444443,2065.178,13,9.768,12.602,,,False
unknown,,12.62,SoCsweep,2026-07-03 03:51:35.266691,SoCsweep_OCV12p62V_testday_bdps_2026-07-02_23-51-24.csv,12.619731748071976,12.626977443609022,2.4082117794486244,854.57898126607,-1.0586411096256683,-1205.2291147992098,10.20220489977728,10.404992479108634,0.574792358002512,243.3903502409069,10.473842105263156,0.4375874020898548,266.26264113652934,10.197399999999998,10.193,2.356,10.196200000000001,1.8675721561963614,12.577,10.193,3.223,10.197000000000001,739.6835246664599,12.41,12.543,0.1951643036111111,119.57925215830052,0.38095003916666653,0.1951643036111111,2065.168,13,9.743,12.602,,,False
unknown,,12.59,SoCsweep,2026-07-03 05:08:34.054917,SoCsweep_OCV12p59V_testday_bdps_2026-07-02_23-51-24.csv,12.590075954247526,12.588500000000002,2.389753801169592,1151.2461618055409,-0.3724310056799194,-518.6848960150982,10.201149220489977,10.376138123085491,0.5568695725457911,239.17968430026804,10.30938596491228,0.1432845510161809,125.17910013928427,10.196200000000001,10.193,1.881,10.1982,1.7012227538550897,12.551999999999998,10.201,3.075,10.1974,764.5528455284543,12.335,12.518,0.19492915388888882,155.56027563665734,0.32353891166666654,0.19492915388888882,2065.154,13,9.776,12.585,,,False
unknown,,12.58,SoCsweep,2026-07-03 05:47:01.399349,SoCsweep_OCV12p58V_testday_bdps_2026-07-02_23-51-24.csv,12.577,12.577,2.3773968253968256,1255.3211480649072,-0.16561945187165783,-254.57597077839523,10.198276169265034,10.354923141186298,0.5369334104617729,237.68034186322606,10.290130325814536,0.11337898855280575,109.74187009387708,10.1978,10.193,1.701,10.197799999999999,2.8218694885368887,12.526999999999997,10.193,2.984,10.195,782.1715817694362,12.127,12.493,0.19365848749999998,170.03186176077503,0.30309181833333293,0.19365848749999998,2065.199,13,9.776,12.577,,,False
unknown,,12.57,SoCsweep,2026-07-03 06:25:28.811791,SoCsweep_OCV12p57V_testday_bdps_2026-07-02_23-51-24.csv,12.568080976863754,12.568,2.3682794486215553,1340.2839207847214,-0.15192820855615174,-253.81244189585283,10.198236080178173,10.352394150417828,0.5317111456580875,235.20884869650675,10.285426065162907,0.10802345388283836,109.82394162608622,10.1966,10.193,1.544,10.1978,2.331606217616899,12.5152,10.193,2.902,10.1978,800.2067539627844,11.91,12.477,0.19262398861111105,182.66704158234407,0.28803983194444427,0.19262398861111105,2065.185,13,9.776,12.568,,,False
unknown,,12.56,SoCsweep,2026-07-03 07:42:25.604737,SoCsweep_OCV12p56V_testday_bdps_2026-07-02_23-51-24.csv,12.55536658097686,12.553759999999997,2.354156390977444,1501.196487490541,-0.13866488473103722,-261.6090991838232,10.197805122494433,10.351591478696742,0.5261399859306573,235.21248570671727,10.27929072681704,0.09999719639790731,110.25894093687565,10.197,10.193,1.351,10.197399999999998,2.9607698001477125,12.452,10.193,2.689,10.198599999999999,840.089252510227,10.568,12.427,0.19033856638888888,203.90535843609507,0.26584090305555563,0.19033856638888888,2065.19,13,9.76,12.552,,,False
unknown,,12.55,SoCsweep,2026-07-03 08:20:55.011892,SoCsweep_OCV12p55V_testday_bdps_2026-07-02_23-51-24.csv,12.551999999999996,12.551999999999994,2.3524770258980787,1592.5306024228573,-0.13460782085561718,-265.6122983984031,10.197884187082407,10.357055416318575,0.530363520287164,235.67255041481698,10.27647117794486,0.0962447462166203,110.61535437096397,10.196200000000001,10.193,1.289,10.198599999999999,2.4825446082245337,12.360000000000003,10.201,2.617,10.197,824.9904470768065,10.493,12.368,0.19082161749999998,215.7616823758301,0.2569424477777778,0.19082161749999998,2065.195,13,9.743,12.543,,,False
