start_index,start_time,V_pre_total_1_10V,V_min_total_1_10V,V_drop_total_pct,soc_pct_est_pack,temp_avg_start_C,R_internal_est_ohm_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max
0,2021-12-02 14:07:38.655817,493.0,469.0,4.86815415821501,70.75000000000004,21.15,0.008695652173913044,1.2345679012345678,0.2980031062167248,0.010000000000000009
1,2021-12-02 14:36:30.387233,493.0,469.0,4.86815415821501,70.75000000000004,18.75,0.00875912408759124,4.3478260869565215,0.5573664556696603,0.030000000000000027
2,2021-12-02 15:16:49.672519,487.0,433.0,11.088295687885012,58.21428571428571,18.56714285714286,0.011065573770491803,10.195227765726681,1.13675288275473,1.500000000000001
3,2021-12-03 07:51:05.295463,484.0,437.0,9.710743801652892,52.857142857142826,17.303571428571427,0.00951417004048583,5.099778270509978,1.2433013412860057,1.0100000000000011
4,2021-12-03 07:54:37.632662,493.0,450.0,8.72210953346856,70.75000000000004,17.205000000000002,0.008739837398373983,4.237288135593221,0.946007714967149,1.2500000000000013
5,2021-12-06 08:12:36.206141,485.0,438.0,9.690721649484537,54.642857142857125,15.4,0.009552845528455286,8.444444444444445,0.9212220854706563,1.5000000000000016
6,2021-12-06 08:18:14.808642,499.0,442.0,11.422845691382765,87.00000000000001,15.506666666666666,0.011728395061728394,8.423326133909287,1.2000299961796848,1.5000000000000016
7,2021-12-06 08:50:50.269040,485.0,435.0,10.309278350515463,54.642857142857125,15.379166666666668,0.010224948875255624,12.0,0.8814190467377421,1.0000000000000007
8,2021-12-06 08:52:05.115946,505.0,452.0,10.495049504950495,96.25,15.4,0.010838445807770962,7.23404255319149,0.7250329723553375,1.0000000000000009
9,2021-12-06 09:30:45.268621,485.0,445.0,8.24742268041237,54.642857142857125,15.375,0.008196721311475409,4.641350210970464,0.7437586212473695,0.5000000000000009
10,2021-12-06 09:32:05.026704,508.0,443.0,12.795275590551181,100.0,15.375,0.013402061855670104,14.87603305785124,0.5679527803823177,1.000000000000001
11,2021-12-06 09:47:10.165223,485.0,428.0,11.752577319587628,54.642857142857125,15.341666666666669,0.01163265306122449,15.151515151515152,0.5566600448702487,1.0000000000000007
12,2021-12-06 10:16:31.254854,485.0,421.0,13.195876288659795,54.642857142857125,15.275,0.013034623217922606,19.290465631929045,1.219427626479573,1.5000000000000016
13,2021-12-06 10:34:17.070988,500.0,451.0,9.8,90.0,15.275,0.010040983606557377,7.758620689655173,0.8549576967622666,1.5000000000000013
14,2021-12-06 10:36:41.051526,504.0,435.0,13.690476190476192,95.0,17.119999999999997,0.014052953156822812,18.629550321199144,1.7488581418494151,1.5000000000000016
15,2021-12-06 10:42:10.512549,492.0,438.0,10.975609756097562,68.33333333333339,15.447619047619048,0.011042944785276074,9.050772626931566,0.7392491803199744,1.0000000000000009
16,2021-12-06 10:47:33.222062,496.0,442.0,10.887096774193548,78.00000000000004,15.35,0.011042944785276074,11.397849462365592,0.6292877122634123,1.250000000000001
17,2021-12-06 10:48:10.352193,496.0,449.0,9.475806451612904,78.00000000000004,15.35833333333333,0.009670781893004115,8.459869848156183,0.9067194301463596,1.0000000000000009
18,2021-12-07 07:01:46.625096,481.0,458.0,4.781704781704782,47.90178571428569,15.75,0.007692307692307692,2.78372591006424,0.6089779408632735,0.010000000000000009
19,2021-12-16 07:36:08.039748,473.0,442.0,6.553911205073996,40.0,19.933333333333334,0.008882521489971347,4.635761589403973,0.6984408461594931,1.000000000000001
20,2021-12-16 09:37:15.952660,481.0,454.0,5.613305613305614,47.90178571428569,13.466666666666665,0.007563025210084034,2.386117136659436,0.43252380222946263,0.5000000000000004
21,2021-12-16 09:41:39.510397,495.0,426.0,13.939393939393941,75.58333333333339,13.45,0.014081632653061223,17.94871794871795,0.33377291242721197,1.0000000000000007
22,2022-01-20 08:25:57.775099,489.0,446.0,8.793456032719837,62.08333333333334,2.1,0.008686868686868687,11.206896551724139,0.7880171773748874,1.0000000000000009
23,2022-01-24 07:32:32.923586,488.0,461.0,5.532786885245901,60.0,3.5,0.008881578947368421,3.7344398340248963,0.32482487713562846,0.010000000000000009
24,2022-01-24 08:31:49.805103,484.0,431.0,10.950413223140496,52.857142857142826,4.95,0.010927835051546392,9.287257019438444,1.7459418136800844,1.5000000000000013
25,2022-01-25 08:01:13.646631,448.0,397.0,11.383928571428571,40.0,6.233333333333333,0.010303030303030303,9.535452322738386,1.0878043313550747,1.5000000000000013
26,2022-01-25 11:27:55.566258,477.0,421.0,11.740041928721174,41.56249999999999,7.796666666666667,0.011336032388663967,12.808988764044944,0.6544229856078414,1.0000000000000009
27,2022-01-25 12:28:00.689893,480.0,457.0,4.791666666666667,46.24999999999997,6.65,0.006497175141242938,3.67170626349892,0.4394691473283501,0.010000000000000009
28,2022-01-26 07:35:58.318298,454.0,394.0,13.215859030837004,40.0,7.15,0.017543859649122806,14.814814814814815,1.449877427012882,1.5000000000000013
29,2022-01-26 09:03:42.296411,484.0,424.0,12.396694214876034,52.857142857142826,10.141666666666666,0.012244897959183675,11.009174311926605,1.0201357652714287,1.000000000000001
