start_index,start_time,can_tapper_id,start_color,V_pre_total_1_10V,V_min_total_1_10V,V_ocv_total_1_10V,V_drop_total_pct,soc_pct_est_pack,soc_pct_est_ocv_pack,V_ocv_slope_mV_per_s_max,n_ocv_samples_min,temp_avg_start_C,I_pre_A,I_load_A,delta_I_A,t_load_s,I_mean_post_A,I_max_post_A,t_charge_onset_s,R_internal_est_ohm_pack,R_internal_est_ohm_min_voltage_method_pack,R_internal_est_ohm_from_ocv_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max,tau_relax_s_median,relax_fit_r2_min,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,t_before_s,t_after_s
0,2020-12-07 14:56:10.803316,can_tapper13,"rgb(228,26,28)",509.0,449.0,,11.787819253438114,98.75,,,0,17.266666666666666,21.0,406.0,385.0,0.504836,-4.073015873015873,310.0,2.014553,0.004935064935064936,0.015584415584415584,,8.94308943089431,2.1454516301454984,1.7600000000002751,2.4199454189414036,0.19082941661734154,1.616953,119.933122,,1461,323,616,60.0,120.0
1,2020-12-07 14:57:40.361082,can_tapper13,"rgb(55,126,184)",511.0,427.0,568.0,16.43835616438356,98.75,100.0,70.22643121173617,1500,17.35333333333333,0.0,310.0,310.0,1.411905,-8.748447204968944,22.0,2.007547,0.017419354838709676,0.027096774193548386,0.035806451612903224,22.717622080679405,2.19766527929167,1.5000000000002345,1.801675664776153,0.5971978246326751,59.918668,119.899928,89.557766,2160,480,878,60.0,120.0
2,2020-12-07 15:07:24.767359,can_tapper13,"rgb(77,175,74)",495.0,431.0,500.0,12.929292929292929,75.58333333333339,88.25000000000001,2.6970589764700486,1500,17.275,17.0,362.0,345.0,1.192274,-17.259036144578314,142.0,2.29817,0.009855072463768117,0.01855072463768116,0.011304347826086957,15.74468085106383,0.671260454367381,1.5000000000002345,2.145932504474109,0.8145955274640905,59.967182,67.07467,584.406277,1526,314,387,60.0,120.0
3,2020-12-10 09:58:28.013330,can_tapper13,"rgb(152,78,163)",508.0,458.0,512.0,9.84251968503937,98.75,100.0,11.19398013534058,1252,18.816666666666666,0.0,314.0,314.0,1.434001,-8.816023738872403,20.0,2.029905,0.012420382165605096,0.01592356687898089,0.013694267515923567,2.658486707566462,1.0178919788724996,1.0000000000001563,2.892719705486028,0.6146259471209019,28.059464,119.987419,240663.245971,1778,390,660,60.0,120.0
4,2020-12-10 10:01:40.060887,can_tapper13,"rgb(255,127,0)",515.0,436.0,520.0,15.339805825242719,100.0,100.0,5.874473721986998,1500,18.84166666666667,0.0,478.0,478.0,1.047201,-5.940972222222222,45.0,2.043288,0.013389121338912135,0.016527196652719667,0.014435146443514645,14.712153518123667,1.3026761416460817,1.5000000000002345,119.99999999999996,0.41925285671232726,59.811399,119.997075,192.047557,2158,417,394,60.0,120.0
5,2020-12-10 10:06:31.509686,can_tapper13,"rgb(255,255,51)",501.0,436.0,505.0,12.974051896207584,91.25,95.0,4.393379730389965,1500,18.81666666666667,15.0,390.0,375.0,1.063635,-19.251497005988025,149.0,2.064054,0.011199999999999998,0.017333333333333333,0.012266666666666665,7.818930041152264,0.9818628512887287,1.5000000000002345,2.27471676670449,0.8201607885900744,59.949553,59.635502,291.448799,1437,321,313,60.0,120.0
6,2020-12-21 13:05:16.201994,can_tapper13,"rgb(166,86,40)",496.0,453.0,498.0,8.669354838709678,78.58333333333337,82.25000000000004,9.576811675016824,762,17.0,13.0,487.0,474.0,0.81542,-12.739864864864865,400.0,2.219252,0.009071729957805908,0.009071729957805908,0.009493670886075951,5.684210526315789,0.698491781284154,1.0000000000001563,2.27471676670449,0.2235443928570665,18.259676,119.822496,961124.692308,1659,324,527,60.0,120.0
7,2020-12-21 13:06:12.717594,can_tapper13,"rgb(247,129,191)",501.0,437.0,565.0,12.77445109780439,91.25,100.0,50.96443153973943,1500,14.8125,18.5,400.0,381.5,1.033199,-17.42611683848797,129.0,2.133474,0.015203145478374836,0.016775884665792922,0.03197903014416776,4.742268041237113,1.272735199659269,1.5000000000002345,2.0171482422437275,0.6522386361083741,59.771175,119.845097,56.5156,2157,435,690,60.0,120.0
8,2021-01-06 10:22:06.954782,can_tapper13,"rgb(153,153,153)",485.0,405.0,485.0,16.49484536082474,54.642857142857125,55.07440476190475,1.6312985027991254,1500,15.666666666666668,18.5,302.0,283.5,1.675679,-22.940438871473354,161.0,2.171898,0.015873015873015872,0.028218694885361554,0.015873015873015872,15.261958997722095,1.221479555889028,1.5200000000002376,3.2620894576029285,0.8549652709921562,59.922527,119.988879,1372554.237188,2160,433,594,60.0,120.0
9,2021-01-06 13:32:53.124556,can_tapper13,"rgb(228,26,28)",496.0,425.0,496.0,14.31451612903226,78.58333333333337,78.58333333333337,10.833100793070315,682,17.65,13.0,243.0,230.0,1.218093,-16.066246056782333,14.0,2.223018,0.02391304347826087,0.0308695652173913,0.02391304347826087,10.833333333333334,1.4350877265738253,1.0000000000001563,2.892719705486028,0.8838239424965979,16.655964,119.93065,11446.169774,1641,336,416,60.0,120.0
