start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2020-12-07 14:56:10.803316,can_tapper13,2020-12-07 14:56:10.803316,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2020-12-07 14:56:10.803316,can_tapper13,2020-12-07 14:56:12.448174,1.644858,Engine running command,Engine Status,status,"rgb(228,26,28)"
0,2020-12-07 14:56:10.803316,can_tapper13,2020-12-07 14:57:38.055955,87.252639,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
0,2020-12-07 14:56:10.803316,can_tapper13,2020-12-07 14:57:41.794084,90.990768,Engine running command,Engine Status,status,"rgb(228,26,28)"
1,2020-12-07 14:57:40.361082,can_tapper13,2020-12-07 14:57:40.361082,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2020-12-07 14:57:40.361082,can_tapper13,2020-12-07 14:57:38.055955,-2.305127,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2020-12-07 14:57:40.361082,can_tapper13,2020-12-07 14:57:41.794084,1.433002,Engine running command,Engine Status,status,"rgb(55,126,184)"
2,2020-12-07 15:07:24.767359,can_tapper13,2020-12-07 15:07:24.767359,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2020-12-07 15:07:24.767359,can_tapper13,2020-12-07 15:07:22.463760,-2.303599,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2020-12-07 15:07:24.767359,can_tapper13,2020-12-07 15:07:26.397766,1.630407,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2020-12-10 09:58:28.013330,can_tapper13,2020-12-10 09:58:28.013330,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2020-12-10 09:58:28.013330,can_tapper13,2020-12-10 09:58:25.705990,-2.30734,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2020-12-10 09:58:28.013330,can_tapper13,2020-12-10 09:58:29.467332,1.454002,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2020-12-10 10:01:40.060887,can_tapper13,2020-12-10 10:01:40.060887,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2020-12-10 10:01:40.060887,can_tapper13,2020-12-10 10:01:37.956789,-2.104098,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2020-12-10 10:01:40.060887,can_tapper13,2020-12-10 10:01:41.537455,1.476568,Engine running command,Engine Status,status,"rgb(255,127,0)"
5,2020-12-10 10:06:31.509686,can_tapper13,2020-12-10 10:06:31.509686,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2020-12-10 10:06:31.509686,can_tapper13,2020-12-10 10:06:29.205336,-2.30435,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
5,2020-12-10 10:06:31.509686,can_tapper13,2020-12-10 10:06:33.047734,1.538048,Engine running command,Engine Status,status,"rgb(255,255,51)"
6,2020-12-21 13:05:16.201994,can_tapper13,2020-12-21 13:05:16.201994,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2020-12-21 13:05:16.201994,can_tapper13,2020-12-21 13:05:14.097688,-2.104306,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2020-12-21 13:05:16.201994,can_tapper13,2020-12-21 13:05:17.600770,1.398776,Engine running command,Engine Status,status,"rgb(166,86,40)"
6,2020-12-21 13:05:16.201994,can_tapper13,2020-12-21 13:06:10.514131,54.312137,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2020-12-21 13:05:16.201994,can_tapper13,2020-12-21 13:06:14.354718,58.152724,Engine running command,Engine Status,status,"rgb(166,86,40)"
7,2020-12-21 13:06:12.717594,can_tapper13,2020-12-21 13:06:12.717594,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2020-12-21 13:06:12.717594,can_tapper13,2020-12-21 13:05:14.097688,-58.619906,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2020-12-21 13:06:12.717594,can_tapper13,2020-12-21 13:05:17.600770,-55.116824,Engine running command,Engine Status,status,"rgb(247,129,191)"
7,2020-12-21 13:06:12.717594,can_tapper13,2020-12-21 13:06:10.514131,-2.203463,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2020-12-21 13:06:12.717594,can_tapper13,2020-12-21 13:06:14.354718,1.637124,Engine running command,Engine Status,status,"rgb(247,129,191)"
8,2021-01-06 10:22:06.954782,can_tapper13,2021-01-06 10:22:06.954782,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
8,2021-01-06 10:22:06.954782,can_tapper13,2021-01-06 10:22:07.176762,0.22198,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
8,2021-01-06 10:22:06.954782,can_tapper13,2021-01-06 10:22:08.752782,1.798,Engine running command,Engine Status,status,"rgb(153,153,153)"
9,2021-01-06 13:32:53.124556,can_tapper13,2021-01-06 13:32:53.124556,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
9,2021-01-06 13:32:53.124556,can_tapper13,2021-01-06 13:32:53.423555,0.298999,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
9,2021-01-06 13:32:53.124556,can_tapper13,2021-01-06 13:32:54.779530,1.654974,Engine running command,Engine Status,status,"rgb(228,26,28)"
10,2021-02-01 13:22:07.139519,can_tapper13,2021-02-01 13:22:07.139519,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
10,2021-02-01 13:22:07.139519,can_tapper13,2021-02-01 13:22:05.031155,-2.108364,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
10,2021-02-01 13:22:07.139519,can_tapper13,2021-02-01 13:22:08.632361,1.492842,Engine running command,Engine Status,status,"rgb(55,126,184)"
11,2021-02-01 13:45:13.401800,can_tapper13,2021-02-01 13:45:13.401800,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
11,2021-02-01 13:45:13.401800,can_tapper13,2021-02-01 13:45:11.095874,-2.305926,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
11,2021-02-01 13:45:13.401800,can_tapper13,2021-02-01 13:45:14.981869,1.580069,Engine running command,Engine Status,status,"rgb(77,175,74)"
12,2021-02-01 14:09:15.926694,can_tapper13,2021-02-01 14:09:15.926694,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
12,2021-02-01 14:09:15.926694,can_tapper13,2021-02-01 14:09:06.221894,-9.7048,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2021-02-01 14:09:15.926694,can_tapper13,2021-02-01 14:09:13.821164,-2.10553,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2021-02-01 14:09:15.926694,can_tapper13,2021-02-01 14:09:17.779001,1.852307,Engine running command,Engine Status,status,"rgb(152,78,163)"
12,2021-02-01 14:09:15.926694,can_tapper13,2021-02-01 14:10:58.553619,102.626925,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2021-02-01 14:09:15.926694,can_tapper13,2021-02-01 14:11:05.857368,109.930674,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2021-02-01 14:09:15.926694,can_tapper13,2021-02-01 14:11:07.205038,111.278344,Engine running command,Engine Status,status,"rgb(152,78,163)"
13,2021-02-01 14:11:05.452793,can_tapper13,2021-02-01 14:11:05.452793,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
13,2021-02-01 14:11:05.452793,can_tapper13,2021-02-01 14:10:58.553619,-6.899174,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
13,2021-02-01 14:11:05.452793,can_tapper13,2021-02-01 14:11:05.857368,0.404575,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
13,2021-02-01 14:11:05.452793,can_tapper13,2021-02-01 14:11:07.205038,1.752245,Engine running command,Engine Status,status,"rgb(255,127,0)"
14,2021-02-01 14:30:51.544739,can_tapper13,2021-02-01 14:30:51.544739,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
14,2021-02-01 14:30:51.544739,can_tapper13,2021-02-01 14:30:38.338313,-13.206426,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
14,2021-02-01 14:30:51.544739,can_tapper13,2021-02-01 14:30:49.340445,-2.204294,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
14,2021-02-01 14:30:51.544739,can_tapper13,2021-02-01 14:30:53.084833,1.540094,Engine running command,Engine Status,status,"rgb(255,255,51)"
14,2021-02-01 14:30:51.544739,can_tapper13,2021-02-01 14:32:18.696988,87.152249,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
14,2021-02-01 14:30:51.544739,can_tapper13,2021-02-01 14:32:22.164982,90.620243,Engine running command,Engine Status,status,"rgb(255,255,51)"
15,2021-02-01 14:32:20.804363,can_tapper13,2021-02-01 14:32:20.804363,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
15,2021-02-01 14:32:20.804363,can_tapper13,2021-02-01 14:32:18.696988,-2.107375,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
15,2021-02-01 14:32:20.804363,can_tapper13,2021-02-01 14:32:22.164982,1.360619,Engine running command,Engine Status,status,"rgb(166,86,40)"
16,2021-02-02 10:08:03.172886,can_tapper13,2021-02-02 10:08:03.172886,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
16,2021-02-02 10:08:03.172886,can_tapper13,2021-02-02 10:08:03.388192,0.215306,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
