start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
0,2020-12-07 14:56:10.803316,can_tapper13,2020-12-07 14:55:10.803316,2020-12-07 14:58:10.803316,17.266666666666666,1.616953,119.933122,,1461,323,616,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-12-07-14-56-08.pcap.gz
1,2020-12-07 14:57:40.361082,can_tapper13,2020-12-07 14:56:40.361082,2020-12-07 14:59:40.361082,17.35333333333333,59.918668,119.899928,89.557766,2160,480,878,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-12-07-14-56-08.pcap.gz
2,2020-12-07 15:07:24.767359,can_tapper13,2020-12-07 15:06:24.767359,2020-12-07 15:09:24.767359,17.275,59.967182,67.07467,584.406277,1526,314,387,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-12-07-14-56-08.pcap.gz
3,2020-12-10 09:58:28.013330,can_tapper13,2020-12-10 09:57:28.013330,2020-12-10 10:00:28.013330,18.816666666666666,28.059464,119.987419,240663.245971,1778,390,660,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-12-10-09-57-59.pcap.gz
4,2020-12-10 10:01:40.060887,can_tapper13,2020-12-10 10:00:40.060887,2020-12-10 10:03:40.060887,18.84166666666667,59.811399,119.997075,192.047557,2158,417,394,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-12-10-09-57-59.pcap.gz
5,2020-12-10 10:06:31.509686,can_tapper13,2020-12-10 10:05:31.509686,2020-12-10 10:08:31.509686,18.81666666666667,59.949553,59.635502,291.448799,1437,321,313,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-12-10-09-57-59.pcap.gz
6,2020-12-21 13:05:16.201994,can_tapper13,2020-12-21 13:04:16.201994,2020-12-21 13:07:16.201994,17.0,18.259676,119.822496,961124.692308,1659,324,527,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-12-21-13-04-57.pcap.gz
7,2020-12-21 13:06:12.717594,can_tapper13,2020-12-21 13:05:12.717594,2020-12-21 13:08:12.717594,14.8125,59.771175,119.845097,56.5156,2157,435,690,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-12-21-13-04-57.pcap.gz
8,2021-01-06 10:22:06.954782,can_tapper13,2021-01-06 10:21:06.954782,2021-01-06 10:24:06.954782,15.666666666666668,59.922527,119.988879,1372554.237188,2160,433,594,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-01-06-10-17-35.pcap.gz
9,2021-01-06 13:32:53.124556,can_tapper13,2021-01-06 13:31:53.124556,2021-01-06 13:34:53.124556,17.65,16.655964,119.93065,11446.169774,1641,336,416,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-16_CP-34\20220927\can_Tapper13-01-06-13-32-36.pcap.gz
