start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2025-11-05 12:00:45.646777,can_tapper32,2025-11-05 12:00:45.646777,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2025-11-05 12:00:45.646777,can_tapper32,2025-11-05 12:00:45.958902,0.312125,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
0,2025-11-05 12:00:45.646777,can_tapper32,2025-11-05 12:00:47.095975,1.449198,Engine running command,Engine Status,status,"rgb(228,26,28)"
1,2025-11-05 12:10:30.418556,can_tapper32,2025-11-05 12:10:30.418556,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2025-11-05 12:10:30.418556,can_tapper32,2025-11-05 12:10:30.753656,0.3351,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2025-11-05 12:10:30.418556,can_tapper32,2025-11-05 12:10:32.109624,1.691068,Engine running command,Engine Status,status,"rgb(55,126,184)"
2,2025-11-05 12:18:54.949750,can_tapper32,2025-11-05 12:18:54.949750,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2025-11-05 12:18:54.949750,can_tapper32,2025-11-05 12:18:55.253550,0.3038,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2025-11-05 12:18:54.949750,can_tapper32,2025-11-05 12:18:56.526876,1.577126,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2025-11-05 15:42:49.527114,can_tapper32,2025-11-05 15:42:49.527114,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2025-11-05 15:42:49.527114,can_tapper32,2025-11-05 15:42:49.734036,0.206922,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2025-11-05 15:42:49.527114,can_tapper32,2025-11-05 15:42:51.071230,1.544116,Engine running command,Engine Status,status,"rgb(152,78,163)"
