start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2020-03-03 08:59:39.166892,can_tapper15,2020-03-03 08:59:39.166892,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2020-03-03 08:59:39.166892,can_tapper15,2020-03-03 08:59:40.800228,1.633336,Engine running command,Engine Status,status,"rgb(228,26,28)"
1,2020-03-03 10:21:54.837632,can_tapper15,2020-03-03 10:21:54.837632,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2020-03-03 10:21:54.837632,can_tapper15,2020-03-03 10:21:52.731578,-2.106054,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2020-03-03 10:21:54.837632,can_tapper15,2020-03-03 10:21:56.328537,1.490905,Engine running command,Engine Status,status,"rgb(55,126,184)"
2,2020-03-03 11:44:36.716817,can_tapper15,2020-03-03 11:44:36.716817,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2020-03-03 11:44:36.716817,can_tapper15,2020-03-03 11:44:34.511324,-2.205493,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2020-03-03 11:44:36.716817,can_tapper15,2020-03-03 11:44:38.349016,1.632199,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2020-03-03 11:44:36.716817,can_tapper15,2020-03-03 11:44:36.716817,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2020-03-03 11:44:36.716817,can_tapper15,2020-03-03 11:44:34.511324,-2.205493,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2020-03-03 11:44:36.716817,can_tapper15,2020-03-03 11:44:38.349016,1.632199,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2020-03-03 12:01:10.944926,can_tapper15,2020-03-03 12:01:10.944926,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2020-03-03 12:01:10.944926,can_tapper15,2020-03-03 12:01:08.839686,-2.10524,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2020-03-03 12:01:10.944926,can_tapper15,2020-03-03 12:01:12.539361,1.594435,Engine running command,Engine Status,status,"rgb(255,127,0)"
5,2020-03-03 12:23:05.024802,can_tapper15,2020-03-03 12:23:05.024802,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2020-03-03 12:23:05.024802,can_tapper15,2020-03-03 12:23:02.916846,-2.107956,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
5,2020-03-03 12:23:05.024802,can_tapper15,2020-03-03 12:23:06.658768,1.633966,Engine running command,Engine Status,status,"rgb(255,255,51)"
6,2020-03-03 13:21:57.432064,can_tapper15,2020-03-03 13:21:57.432064,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2020-03-03 13:21:57.432064,can_tapper15,2020-03-03 13:21:57.865962,0.433898,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2020-03-03 13:21:57.432064,can_tapper15,2020-03-03 13:21:58.999601,1.567537,Engine running command,Engine Status,status,"rgb(166,86,40)"
7,2020-03-03 13:21:57.432064,can_tapper15,2020-03-03 13:21:57.432064,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2020-03-03 13:21:57.432064,can_tapper15,2020-03-03 13:21:57.865962,0.433898,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2020-03-03 13:21:57.432064,can_tapper15,2020-03-03 13:21:58.999601,1.567537,Engine running command,Engine Status,status,"rgb(247,129,191)"
8,2020-03-03 14:03:16.893339,can_tapper15,2020-03-03 14:03:16.893339,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
8,2020-03-03 14:03:16.893339,can_tapper15,2020-03-03 14:03:14.583287,-2.310052,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
8,2020-03-03 14:03:16.893339,can_tapper15,2020-03-03 14:03:18.378649,1.48531,Engine running command,Engine Status,status,"rgb(153,153,153)"
9,2020-03-03 14:06:24.201661,can_tapper15,2020-03-03 14:06:24.201661,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
9,2020-03-03 14:06:24.201661,can_tapper15,2020-03-03 14:06:21.889831,-2.31183,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
9,2020-03-03 14:06:24.201661,can_tapper15,2020-03-03 14:06:25.800632,1.598971,Engine running command,Engine Status,status,"rgb(228,26,28)"
9,2020-03-03 14:06:24.201661,can_tapper15,2020-03-03 14:08:23.241151,119.03949,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
10,2020-03-03 14:08:22.990205,can_tapper15,2020-03-03 14:08:22.990205,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
10,2020-03-03 14:08:22.990205,can_tapper15,2020-03-03 14:08:23.241151,0.250946,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
10,2020-03-03 14:08:22.990205,can_tapper15,2020-03-03 14:08:24.660320,1.670115,Engine running command,Engine Status,status,"rgb(55,126,184)"
10,2020-03-03 14:08:22.990205,can_tapper15,2020-03-03 14:09:10.152012,47.161807,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
10,2020-03-03 14:08:22.990205,can_tapper15,2020-03-03 14:09:13.769943,50.779738,Engine running command,Engine Status,status,"rgb(55,126,184)"
11,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:09:12.256357,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
11,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:08:23.241151,-49.015206,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
11,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:08:24.660320,-47.596037,Engine running command,Engine Status,status,"rgb(77,175,74)"
11,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:09:10.152012,-2.104345,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
11,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:09:13.769943,1.513586,Engine running command,Engine Status,status,"rgb(77,175,74)"
12,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:09:12.256357,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
12,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:08:23.241151,-49.015206,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:08:24.660320,-47.596037,Engine running command,Engine Status,status,"rgb(152,78,163)"
12,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:09:10.152012,-2.104345,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2020-03-03 14:09:12.256357,can_tapper15,2020-03-03 14:09:13.769943,1.513586,Engine running command,Engine Status,status,"rgb(152,78,163)"
13,2020-03-03 16:30:30.961543,can_tapper15,2020-03-03 16:30:30.961543,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
13,2020-03-03 16:30:30.961543,can_tapper15,2020-03-03 16:30:28.858316,-2.103227,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
13,2020-03-03 16:30:30.961543,can_tapper15,2020-03-03 16:30:32.609428,1.647885,Engine running command,Engine Status,status,"rgb(255,127,0)"
14,2020-03-03 17:12:42.326461,can_tapper15,2020-03-03 17:12:42.326461,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
14,2020-03-03 17:12:42.326461,can_tapper15,2020-03-03 17:12:40.217280,-2.109181,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
14,2020-03-03 17:12:42.326461,can_tapper15,2020-03-03 17:12:43.565781,1.23932,Engine running command,Engine Status,status,"rgb(255,255,51)"
15,2020-03-03 17:49:35.114635,can_tapper15,2020-03-03 17:49:35.114635,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
15,2020-03-03 17:49:35.114635,can_tapper15,2020-03-03 17:49:33.006987,-2.107648,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
15,2020-03-03 17:49:35.114635,can_tapper15,2020-03-03 17:49:36.742418,1.627783,Engine running command,Engine Status,status,"rgb(166,86,40)"
16,2020-03-03 17:49:35.114635,can_tapper15,2020-03-03 17:49:35.114635,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
16,2020-03-03 17:49:35.114635,can_tapper15,2020-03-03 17:49:33.006987,-2.107648,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
16,2020-03-03 17:49:35.114635,can_tapper15,2020-03-03 17:49:36.742418,1.627783,Engine running command,Engine Status,status,"rgb(247,129,191)"
17,2020-03-03 18:07:49.949563,can_tapper15,2020-03-03 18:07:49.949563,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
17,2020-03-03 18:07:49.949563,can_tapper15,2020-03-03 18:07:47.842344,-2.107219,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
17,2020-03-03 18:07:49.949563,can_tapper15,2020-03-03 18:07:51.545297,1.595734,Engine running command,Engine Status,status,"rgb(153,153,153)"
18,2020-03-03 18:07:49.949563,can_tapper15,2020-03-03 18:07:49.949563,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
18,2020-03-03 18:07:49.949563,can_tapper15,2020-03-03 18:07:47.842344,-2.107219,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
18,2020-03-03 18:07:49.949563,can_tapper15,2020-03-03 18:07:51.545297,1.595734,Engine running command,Engine Status,status,"rgb(228,26,28)"
19,2020-03-03 19:54:00.667115,can_tapper15,2020-03-03 19:54:00.667115,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
19,2020-03-03 19:54:00.667115,can_tapper15,2020-03-03 19:53:58.662244,-2.004871,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
19,2020-03-03 19:54:00.667115,can_tapper15,2020-03-03 19:54:02.425091,1.757976,Engine running command,Engine Status,status,"rgb(55,126,184)"
20,2020-03-03 22:21:52.385929,can_tapper15,2020-03-03 22:21:52.385929,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
20,2020-03-03 22:21:52.385929,can_tapper15,2020-03-03 22:21:50.077110,-2.308819,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
20,2020-03-03 22:21:52.385929,can_tapper15,2020-03-03 22:21:53.913585,1.527656,Engine running command,Engine Status,status,"rgb(77,175,74)"
21,2020-03-03 22:21:52.385929,can_tapper15,2020-03-03 22:21:52.385929,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
21,2020-03-03 22:21:52.385929,can_tapper15,2020-03-03 22:21:50.077110,-2.308819,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
21,2020-03-03 22:21:52.385929,can_tapper15,2020-03-03 22:21:53.913585,1.527656,Engine running command,Engine Status,status,"rgb(152,78,163)"
22,2020-03-03 23:50:58.890915,can_tapper15,2020-03-03 23:50:58.890915,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
22,2020-03-03 23:50:58.890915,can_tapper15,2020-03-03 23:50:56.780339,-2.110576,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
22,2020-03-03 23:50:58.890915,can_tapper15,2020-03-03 23:51:00.287385,1.39647,Engine running command,Engine Status,status,"rgb(255,127,0)"
23,2020-03-03 23:50:58.890915,can_tapper15,2020-03-03 23:50:58.890915,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
23,2020-03-03 23:50:58.890915,can_tapper15,2020-03-03 23:50:56.780339,-2.110576,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
23,2020-03-03 23:50:58.890915,can_tapper15,2020-03-03 23:51:00.287385,1.39647,Engine running command,Engine Status,status,"rgb(255,255,51)"
24,2020-03-04 00:03:59.799227,can_tapper15,2020-03-04 00:03:59.799227,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
24,2020-03-04 00:03:59.799227,can_tapper15,2020-03-04 00:03:57.692824,-2.106403,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
24,2020-03-04 00:03:59.799227,can_tapper15,2020-03-04 00:04:01.248773,1.449546,Engine running command,Engine Status,status,"rgb(166,86,40)"
25,2020-03-04 01:46:28.751042,can_tapper15,2020-03-04 01:46:28.751042,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
