start_index,start_time,can_tapper_id,start_color,V_pre_total_1_10V,V_min_total_1_10V,V_ocv_total_1_10V,V_drop_total_pct,soc_pct_est_pack,soc_pct_est_ocv_pack,V_ocv_slope_mV_per_s_max,n_ocv_samples_min,temp_avg_start_C,I_pre_A,I_load_A,delta_I_A,t_load_s,I_mean_post_A,I_max_post_A,t_charge_onset_s,R_internal_est_ohm_pack,R_internal_est_ohm_min_voltage_method_pack,R_internal_est_ohm_from_ocv_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max,tau_relax_s_median,relax_fit_r2_min,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,t_before_s,t_after_s
0,2021-12-14 08:17:36.075181,can_tapper12,"rgb(228,26,28)",487.0,410.0,488.0,15.811088295687886,70.0,68.21428571428571,26.20318367088427,494,6.875,0.0,56.0,56.0,0.616262,-34.493975903614455,-7.0,,0.13749999999999998,0.13749999999999998,0.13928571428571426,27.804878048780488,8.09951013535251,1.7600000000002751,3.2620894576029285,0.7879853635648466,12.906279,119.924222,,3192,544,660,60.0,120.0
1,2021-12-14 08:17:36.075181,can_tapper12,"rgb(55,126,184)",487.0,410.0,488.0,15.811088295687886,70.0,68.21428571428571,26.20318367088427,494,6.875,0.0,56.0,56.0,0.616262,-34.493975903614455,-7.0,,0.13749999999999998,0.13749999999999998,0.13928571428571426,27.804878048780488,8.09951013535251,1.7600000000002751,3.2620894576029285,0.7879853635648466,12.906279,119.924222,0.0,3192,544,660,60.0,120.0
2,2021-12-14 08:31:17.620369,can_tapper12,"rgb(77,175,74)",479.0,365.0,569.0,23.799582463465555,52.62499999999999,100.0,102.7405523291182,1500,7.1833333333333345,23.0,283.0,260.0,1.361744,-35.203821656050955,35.0,2.361075,0.03192307692307692,0.04384615384615384,0.065,37.34335839598997,8.122626220380898,3.000000000000469,106.41227629404169,0.16137805819566498,59.842393,102.040807,821.545188,3886,630,752,60.0,120.0
3,2021-12-14 08:31:17.620369,can_tapper12,"rgb(152,78,163)",479.0,365.0,569.0,23.799582463465555,52.62499999999999,100.0,102.7405523291182,1500,7.1833333333333345,23.0,283.0,260.0,1.361744,-35.203821656050955,35.0,2.361075,0.03192307692307692,0.04384615384615384,0.065,37.34335839598997,8.122626220380898,3.000000000000469,106.41227629404169,0.16137805819566498,59.842393,102.040807,0.0,3886,630,752,60.0,120.0
4,2021-12-14 09:21:19.585390,can_tapper12,"rgb(255,127,0)",483.0,368.0,484.0,23.809523809523807,53.51190476190476,52.99107142857141,34.750252638828336,395,6.35,0.0,383.0,383.0,0.506653,-57.053639846743295,14.0,2.008094,0.014360313315926888,0.03002610966057441,0.014621409921671016,34.09610983981693,7.485310776719476,1.5000000000002345,3.2620894576029285,0.4475458575963146,10.914812,119.934905,3001.965021,3144,574,848,60.0,120.0
5,2021-12-14 09:21:19.585390,can_tapper12,"rgb(255,255,51)",483.0,368.0,484.0,23.809523809523807,53.51190476190476,52.99107142857141,34.750252638828336,395,6.35,0.0,383.0,383.0,0.506653,-57.053639846743295,14.0,2.008094,0.014360313315926888,0.03002610966057441,0.014621409921671016,34.09610983981693,7.485310776719476,1.5000000000002345,3.2620894576029285,0.4475458575963146,10.914812,119.934905,0.0,3144,574,848,60.0,120.0
6,2021-12-15 14:27:46.719508,can_tapper12,"rgb(166,86,40)",480.0,403.0,478.0,16.041666666666668,47.99107142857141,44.68749999999998,12.316325547114555,851,16.975,0.0,85.0,85.0,0.796801,-51.52049180327869,-2.0,,0.03411764705882353,0.09058823529411765,0.03176470588235294,25.17321016166282,6.823789420572684,1.5000000000002345,3.678623825607137,0.24391883258787606,20.029554,119.795439,104787.134118,3360,538,1146,60.0,120.0
7,2021-12-15 14:27:46.719508,can_tapper12,"rgb(247,129,191)",480.0,403.0,478.0,16.041666666666668,47.99107142857141,44.68749999999998,12.316325547114555,851,16.975,0.0,85.0,85.0,0.796801,-51.52049180327869,-2.0,,0.03411764705882353,0.09058823529411765,0.03176470588235294,25.17321016166282,6.823789420572684,1.5000000000002345,3.678623825607137,0.24391883258787606,20.029554,119.795439,0.0,3360,538,1146,60.0,120.0
8,2021-12-23 15:42:33.204687,can_tapper12,"rgb(153,153,153)",484.0,419.0,483.0,13.429752066115702,62.21428571428574,55.729166666666686,17.094123152940753,1500,-0.65,0.0,23.0,23.0,0.925508,-14.271493212669684,-1.0,,0.22608695652173913,0.28260869565217395,0.2217391304347826,27.272727272727273,7.693696333508317,1.0000000000001563,3.678623825607137,0.6791243319660192,35.357345,119.962003,695686.485179,3732,540,964,60.0,120.0
9,2021-12-23 15:42:33.204687,can_tapper12,"rgb(228,26,28)",484.0,419.0,483.0,13.429752066115702,62.21428571428574,55.729166666666686,17.094123152940753,1500,-0.65,0.0,23.0,23.0,0.925508,-14.271493212669684,-1.0,,0.22608695652173913,0.28260869565217395,0.2217391304347826,27.272727272727273,7.693696333508317,1.0000000000001563,3.678623825607137,0.6791243319660192,35.357345,119.962003,0.0,3732,540,964,60.0,120.0
10,2021-12-27 11:11:57.243397,can_tapper12,"rgb(55,126,184)",466.0,412.0,461.0,11.587982832618025,55.0,55.0,12.429605524267327,1500,16.488636363636363,0.0,62.0,62.0,0.857901,-93.52631578947368,-37.0,,0.08709677419354839,0.08709677419354839,0.07903225806451614,33.0188679245283,10.585048510757597,1.5000000000002345,5.275382050040925,0.6296234512775519,34.324838,88.786145,329364.03871,2956,474,845,60.0,120.0
11,2021-12-27 11:11:57.243397,can_tapper12,"rgb(77,175,74)",466.0,412.0,461.0,11.587982832618025,55.0,55.0,12.429605524267327,1500,16.488636363636363,0.0,62.0,62.0,0.857901,-93.52631578947368,-37.0,,0.08709677419354839,0.08709677419354839,0.07903225806451614,33.0188679245283,10.585048510757597,1.5000000000002345,5.275382050040925,0.6296234512775519,34.324838,88.786145,0.0,2956,474,845,60.0,120.0
