start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
0,2022-05-31 10:28:34.824753,can_tapper15,2022-05-31 10:27:34.824753,2022-05-31 10:30:34.824753,11.725,59.997482,119.891629,,2158,403,476,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-10-05-31.pcap.gz
1,2022-05-31 11:28:07.568745,can_tapper15,2022-05-31 11:27:07.568745,2022-05-31 11:30:07.568745,13.941666666666666,59.776549,119.874993,3572.743992,2157,415,572,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
2,2022-05-31 11:29:12.108839,can_tapper15,2022-05-31 11:28:12.108839,2022-05-31 11:31:12.108839,13.975,59.989101,119.885318,64.540094,2159,425,625,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
3,2022-05-31 11:31:08.194613,can_tapper15,2022-05-31 11:30:08.194613,2022-05-31 11:33:08.194613,14.025,59.99988,119.887243,116.085774,2158,345,364,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
4,2022-05-31 14:32:00.086011,can_tapper15,2022-05-31 14:31:00.086011,2022-05-31 14:34:00.086011,14.95,59.991471,119.901755,10851.891398,2159,413,606,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-14-05-31.pcap.gz
5,2022-05-31 14:36:47.780271,can_tapper15,2022-05-31 14:35:47.780271,2022-05-31 14:38:47.780271,,59.98827,119.921044,287.69426,2159,411,449,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-14-05-31.pcap.gz
6,2022-06-01 08:12:47.641430,can_tapper15,2022-06-01 08:11:47.641430,2022-06-01 08:14:47.641430,14.183333333333332,59.893849,119.957376,63359.861159,2160,528,519,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-01-08-09-34.pcap.gz
7,2022-06-01 08:32:17.097451,can_tapper15,2022-06-01 08:31:17.097451,2022-06-01 08:34:17.097451,15.825,59.984349,119.983425,1169.456021,2160,301,367,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-01-08-09-34.pcap.gz
8,2022-06-01 10:43:08.213664,can_tapper15,2022-06-01 10:42:08.213664,2022-06-01 10:45:08.213664,16.725,59.925201,119.986067,7851.116213,2160,367,435,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-01-10-09-34.pcap.gz
9,2022-06-02 09:46:00.293177,can_tapper15,2022-06-02 09:45:00.293177,2022-06-02 09:48:00.293177,,59.997581,119.878847,82972.079513,2158,380,417,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-02-09-34-55.pcap.gz
10,2022-06-07 10:04:37.141009,can_tapper15,2022-06-07 10:03:37.141009,2022-06-07 10:06:37.141009,13.6,37.163015,119.931614,433116.847832,1887,389,485,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-07-10-03-59.pcap.gz
11,2022-06-07 13:20:37.424602,can_tapper15,2022-06-07 13:19:37.424602,2022-06-07 13:22:37.424602,16.866666666666667,59.969602,119.954303,11760.283593,2160,395,552,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-07-13-03-59.pcap.gz
12,2022-06-08 10:59:42.012145,can_tapper15,2022-06-08 10:58:42.012145,2022-06-08 11:01:42.012145,16.2,59.855341,119.947609,77944.587543,2158,453,446,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-08-10-13-41.pcap.gz
13,2022-06-08 12:27:04.128078,can_tapper15,2022-06-08 12:26:04.128078,2022-06-08 12:29:04.128078,21.5,59.762464,119.875629,5242.115933,2157,387,395,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-08-12-13-41.pcap.gz
14,2022-06-10 10:25:31.455323,can_tapper15,2022-06-10 10:24:31.455323,2022-06-10 10:27:31.455323,15.133333333333331,59.946707,119.931754,165507.327245,2158,409,428,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-10-10-06-52.pcap.gz
15,2022-06-22 07:27:05.247930,can_tapper15,2022-06-22 07:26:05.247930,2022-06-22 07:29:05.247930,13.45,35.015126,119.86085,1026093.792607,1860,373,358,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-06-22-07-26-29.pcap.gz
16,2022-07-05 14:45:17.937934,can_tapper15,2022-07-05 14:44:17.937934,2022-07-05 14:47:17.937934,19.85,55.733503,119.87231,1149492.690004,2109,361,449,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-07-05-14-44-21.pcap.gz
17,2022-07-05 15:04:08.867471,can_tapper15,2022-07-05 15:03:08.867471,2022-07-05 15:06:08.867471,18.275,59.951332,119.901285,1130.929537,1713,344,356,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-07-05-14-44-21.pcap.gz
18,2022-07-05 15:05:45.626456,can_tapper15,2022-07-05 15:04:45.626456,2022-07-05 15:07:45.626456,18.43333333333333,59.896295,119.941449,96.758985,1753,337,413,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-07-05-15-05-34.pcap.gz
19,2022-08-11 11:28:16.990323,can_tapper15,2022-08-11 11:27:16.990323,2022-08-11 11:30:16.990323,22.56666666666667,59.993931,119.953703,3183751.363867,2160,358,513,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-08-11-11-16-34.pcap.gz
20,2022-08-11 13:39:32.110667,can_tapper15,2022-08-11 13:38:32.110667,2022-08-11 13:41:32.110667,36.35,5.619517,119.978637,7875.120344,1509,308,477,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-08-11-13-39-26.pcap.gz
21,2022-08-18 09:18:06.728373,can_tapper15,2022-08-18 09:17:06.728373,2022-08-18 09:20:06.728373,21.1,26.011213,119.851631,589114.617706,1752,338,341,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-08-18-09-17-40.pcap.gz
22,2022-08-25 08:04:08.320039,can_tapper15,2022-08-25 08:03:08.320039,2022-08-25 08:06:08.320039,23.3,4.195476,119.876048,600361.591666,1491,338,352,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-08-25-08-04-03.pcap.gz
23,2022-09-05 09:38:40.311069,can_tapper15,2022-09-05 09:37:40.311069,2022-09-05 09:40:40.311069,19.683333333333334,59.9686,119.971198,956071.99103,2160,534,612,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-09-05-09-34-27.pcap.gz
24,2022-09-05 09:48:06.110392,can_tapper15,2022-09-05 09:47:06.110392,2022-09-05 09:50:06.110392,19.741666666666667,59.948674,119.975629,565.799323,2160,566,458,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-09-05-09-34-27.pcap.gz
25,2022-09-12 13:11:19.123457,can_tapper15,2022-09-12 13:10:19.123457,2022-09-12 13:13:19.123457,16.0,59.918431,119.941574,616993.013065,2158,413,756,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-09-12-13-00-15.pcap.gz
