start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2025-11-05 14:30:06.933344,can_tapper34,2025-11-05 14:30:06.933344,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2025-11-05 14:30:06.933344,can_tapper34,2025-11-05 14:30:08.727463,1.794119,Engine running command,Engine Status,status,"rgb(228,26,28)"
0,2025-11-05 14:30:06.933344,can_tapper34,2025-11-05 14:30:08.931969,1.998625,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
1,2025-11-05 14:32:31.510653,can_tapper34,2025-11-05 14:32:31.510653,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2025-11-05 14:32:31.510653,can_tapper34,2025-11-05 14:32:33.248461,1.737808,Engine running command,Engine Status,status,"rgb(55,126,184)"
1,2025-11-05 14:32:31.510653,can_tapper34,2025-11-05 14:32:33.635962,2.125309,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
2,2025-11-19 11:38:16.159731,can_tapper34,2025-11-19 11:38:16.159731,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2025-11-19 11:38:16.159731,can_tapper34,2025-11-19 11:38:14.055554,-2.104177,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2025-11-19 11:38:16.159731,can_tapper34,2025-11-19 11:38:17.734431,1.5747,Engine running command,Engine Status,status,"rgb(77,175,74)"
2,2025-11-19 11:38:16.159731,can_tapper34,2025-11-19 11:40:02.614568,106.454837,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2025-11-19 11:38:16.159731,can_tapper34,2025-11-19 11:40:06.162359,110.002628,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2025-11-19 11:40:04.718882,can_tapper34,2025-11-19 11:40:04.718882,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2025-11-19 11:40:04.718882,can_tapper34,2025-11-19 11:40:02.614568,-2.104314,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2025-11-19 11:40:04.718882,can_tapper34,2025-11-19 11:40:06.162359,1.443477,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2025-11-19 11:49:46.547048,can_tapper34,2025-11-19 11:49:46.547048,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2025-11-19 11:49:46.547048,can_tapper34,2025-11-19 11:49:44.443105,-2.103943,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2025-11-19 11:49:46.547048,can_tapper34,2025-11-19 11:49:48.204649,1.657601,Engine running command,Engine Status,status,"rgb(255,127,0)"
5,2025-11-19 12:10:20.438468,can_tapper34,2025-11-19 12:10:20.438468,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2025-11-19 12:10:20.438468,can_tapper34,2025-11-19 12:10:18.432470,-2.005998,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
5,2025-11-19 12:10:20.438468,can_tapper34,2025-11-19 12:10:21.965463,1.526995,Engine running command,Engine Status,status,"rgb(255,255,51)"
6,2026-02-24 14:02:06.668734,can_tapper34,2026-02-24 14:02:06.668734,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2026-02-24 14:02:06.668734,can_tapper34,2026-02-24 14:02:04.562645,-2.106089,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2026-02-24 14:02:06.668734,can_tapper34,2026-02-24 14:02:08.389920,1.721186,Engine running command,Engine Status,status,"rgb(166,86,40)"
7,2026-02-26 08:34:08.670642,can_tapper34,2026-02-26 08:34:08.670642,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2026-02-26 08:34:08.670642,can_tapper34,2026-02-26 08:34:06.666912,-2.00373,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2026-02-26 08:34:08.670642,can_tapper34,2026-02-26 08:34:10.386092,1.71545,Engine running command,Engine Status,status,"rgb(247,129,191)"
8,2026-03-03 14:45:52.009706,can_tapper34,2026-03-03 14:45:52.009706,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
8,2026-03-03 14:45:52.009706,can_tapper34,2026-03-03 14:45:49.901496,-2.10821,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
8,2026-03-03 14:45:52.009706,can_tapper34,2026-03-03 14:45:53.495688,1.485982,Engine running command,Engine Status,status,"rgb(153,153,153)"
9,2026-03-06 13:30:03.486558,can_tapper34,2026-03-06 13:30:03.486558,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
9,2026-03-06 13:30:03.486558,can_tapper34,2026-03-06 13:30:05.126773,1.640215,Engine running command,Engine Status,status,"rgb(228,26,28)"
9,2026-03-06 13:30:03.486558,can_tapper34,2026-03-06 13:30:05.456882,1.970324,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
10,2026-03-06 14:39:28.138702,can_tapper34,2026-03-06 14:39:28.138702,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
10,2026-03-06 14:39:28.138702,can_tapper34,2026-03-06 14:39:26.034319,-2.104383,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
10,2026-03-06 14:39:28.138702,can_tapper34,2026-03-06 14:39:29.993475,1.854773,Engine running command,Engine Status,status,"rgb(55,126,184)"
11,2026-03-06 15:00:06.074121,can_tapper34,2026-03-06 15:00:06.074121,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
11,2026-03-06 15:00:06.074121,can_tapper34,2026-03-06 15:00:03.971070,-2.103051,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
11,2026-03-06 15:00:06.074121,can_tapper34,2026-03-06 15:00:07.368064,1.293943,Engine running command,Engine Status,status,"rgb(77,175,74)"
12,2026-03-17 14:10:01.258615,can_tapper34,2026-03-17 14:10:01.258615,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
