block,cycle,discharge_ah,discharge_complete,discharge_coarse_sampling,charge_ah,charge_complete,charge_coarse_sampling,coulombic_eff_pct,status
1,1,,False,False,15.174805950555557,True,False,,in progress / fragment
1,2,11.99019109472222,True,False,13.253838347222224,True,False,110.53900844879969,complete
1,3,12.803392224444446,True,False,12.977025701666667,True,False,101.35615213670263,complete
1,4,12.692179942777779,True,False,12.654048232777779,True,False,99.69956532154511,complete
1,5,12.278885391388886,True,False,12.498273331944445,True,False,101.78670891992701,complete
1,6,12.10821046861111,True,False,12.423071030555553,True,False,102.60038890768108,complete
1,7,12.461226298333333,True,False,12.644761745,True,False,101.47285220790201,complete
1,8,12.30947575388889,True,False,12.517020825277777,True,False,101.68605938659343,complete
1,9,12.316362115,True,False,12.413466547777777,True,False,100.78841813736146,complete
1,10,12.24919522,True,False,12.409319920277778,True,False,101.30722629039606,complete
2,1,,False,False,13.896161389444444,True,False,,in progress / fragment
2,2,11.725300183888889,True,False,12.461082602222222,True,False,106.27516913677258,complete
2,3,11.701340573888888,True,False,11.877501571388889,True,False,101.50547705527944,complete
2,4,11.26489306916667,True,False,11.476750527222222,True,False,101.88068769720888,complete
2,5,11.21576933861111,True,False,11.556011283333333,True,False,103.03360326385204,complete
2,6,11.380179749722222,True,False,11.439352808333332,True,False,100.51996594001562,complete
2,7,11.11795804611111,True,False,11.301480309444445,True,False,101.65068317916102,complete
2,8,11.13038888,True,False,11.296108802222223,True,False,101.48889606651572,complete
2,9,10.91457009361111,True,False,11.066408128333334,True,False,101.39114993462823,complete
2,10,10.737373248888892,True,False,10.925596598055554,True,False,101.75297388666395,complete
3,1,,False,False,13.451583922222223,True,False,,in progress / fragment
3,2,9.31743911138889,True,False,10.1174518175,True,False,108.5861865749489,complete
3,3,8.945602884444444,True,False,9.126196738611108,True,False,102.01880025862427,complete
3,4,9.017699689166667,True,False,9.173259894166668,True,False,101.72505417525582,complete
3,5,8.854951218333333,True,False,9.063545636111108,True,False,102.35568116226207,complete
3,6,8.49262754611111,True,False,8.426099670277775,True,False,99.21663966219973,complete
3,7,8.272775844166667,True,False,8.267238363888888,True,False,99.93306381821425,complete
3,8,8.446203798333334,True,False,8.387149193888888,True,False,99.30081482930711,complete
3,9,7.921203243888887,True,False,7.922105088055555,True,False,100.0113851916041,complete
3,10,8.423057195277778,True,False,8.335737967222222,True,False,98.96333093755425,complete
4,1,,False,False,13.276489708055554,True,False,,in progress / fragment
4,2,9.779410394722222,True,False,10.299547091944445,True,False,105.3186917843527,complete
4,3,6.888130627222224,True,False,5.028932885833331,True,False,73.00867474781542,complete
4,4,5.0128749788888864,True,False,4.328157902777778,True,True,86.3408307808451,complete (Ah corrected/uncertain — coarse Pi sampling)
4,5,9.131523053248792,True,True,3.588065,True,True,39.2931713480529,complete (Ah corrected/uncertain — coarse Pi sampling)
4,6,8.889641520600163,True,True,3.102208055555556,True,True,34.896885868420455,complete (Ah corrected/uncertain — coarse Pi sampling)
4,7,8.165259268806585,True,True,2.226359196666667,True,True,27.26624009566896,complete (Ah corrected/uncertain — coarse Pi sampling)
4,8,8.482180805191442,True,True,2.274649722222222,True,True,26.816803065905447,complete (Ah corrected/uncertain — coarse Pi sampling)
4,9,8.808770356345029,True,True,3.240539444444444,True,True,36.787648143310456,complete (Ah corrected/uncertain — coarse Pi sampling)
4,10,8.16170478151634,True,True,2.216896944444444,True,True,27.162180007600977,complete (Ah corrected/uncertain — coarse Pi sampling)
5,1,,False,False,4.262419722222222,True,True,,in progress / fragment
5,2,8.190059940938514,True,True,2.849338611111111,True,True,34.79020460971864,complete (Ah corrected/uncertain — coarse Pi sampling)
5,3,8.048503171282507,True,True,2.821566666666667,True,True,35.05703615467494,complete (Ah corrected/uncertain — coarse Pi sampling)
5,4,7.856551600660064,True,True,2.6378963888888887,True,True,33.57575337082069,complete (Ah corrected/uncertain — coarse Pi sampling)
5,5,7.747170614598766,True,True,2.2049219444444446,True,True,28.46099633186715,complete (Ah corrected/uncertain — coarse Pi sampling)
5,6,8.562705566064384,True,True,2.8637730555555554,True,True,33.44472180504755,complete (Ah corrected/uncertain — coarse Pi sampling)
5,7,10.800392283333332,True,False,10.504539565833333,True,False,97.26072248360326,complete
5,8,10.97136711,True,False,10.80006468333333,True,False,98.43864101028456,complete
5,9,9.31627497,True,False,9.592130505833333,True,False,102.96100680499056,complete
5,10,9.407533577777778,True,False,9.563636203611109,True,False,101.6593363663572,complete
6,1,,False,False,12.903422700277776,True,False,,in progress / fragment
6,2,8.383616139444445,True,False,9.152026092222222,True,False,109.16561469414674,complete
6,3,8.256494001666667,True,False,8.92159708,True,False,108.05551458281293,complete
6,4,8.059042421388888,True,False,8.113814192222224,True,False,100.67963125107731,complete
6,5,7.610836267222222,True,False,7.6453313241666665,True,False,100.4532360930297,complete
6,6,7.329660968333333,True,False,7.322224121944444,True,False,99.89853764831663,complete
6,7,7.871714446944445,True,False,7.8367980572222224,True,False,99.55643221108235,complete
6,8,7.3874366561111104,True,False,7.357961030277778,True,False,99.60100333572473,complete
