battery_id,block,ocv_label_V,kind,timestamp,filename,rest_baseline_Vmean,ocv_window_Vpre,wakeup_load_1_sag_V,wakeup_load_1_R_int_mohm,wakeup_load_2_sag_V,wakeup_load_2_R_int_mohm,glow_plug_like_load_1_Vmean,driving_aux_load_1_V_mean,driving_aux_load_1_V_std,driving_aux_load_1_R_int_est_mohm,ramp_like_load_1_V_mean,ramp_like_load_1_V_std,ramp_like_load_1_R_int_est_mohm,crank_cold_V_pre,crank_cold_V_min,crank_cold_I_peak_A,crank_cold_V_sustained,crank_cold_R_int_apparent_mohm,crank_hot_V_pre,crank_hot_V_min,crank_hot_I_peak_A,crank_hot_V_sustained,crank_hot_R_int_apparent_mohm,recovery_after_cold_V_plus30s,recovery_after_hot_V_plus30s,alternator_charge_after_cold_Ah,alternator_charge_after_cold_ratio_pct,total_ah_discharged,total_ah_charged,run_duration_s,n_events,min_voltage,final_voltage,recovery_after_evt6_V_plus30s,alternator_charge_after_evt7_Ah,alternator_charge_after_evt7_ratio_pct,crank_1_V_pre,crank_1_V_min,crank_1_I_peak_A,crank_1_V_sustained,crank_1_R_int_apparent_mohm,recovery_after_1_V_plus30s,alternator_charge_after_1_Ah,alternator_charge_after_1_ratio_pct,recovery_after_evt12_V_plus30s,block_c5_capacity_ah,block_c5_reached_cutoff,cutoff_hit,soc_pct
ul18_12_unit2,1,13.54,Block,2026-07-04 02:36:45.796508,Block_01_OCV13p54V_testday_bdps_2026-07-04_02-36-44.csv,13.419510025706941,13.359999999999998,0.08355973266499994,255.56764988452025,-0.029343917112298,-262.7952431836894,13.248483296213807,13.539522138680033,0.19271896593258248,1892.0963268083494,13.312002506265664,0.0074791267589895604,35.48380150845789,13.235000000000003,13.235,0.334,13.233,1.0636867301797905e-11,13.3298,13.319,0.334,13.309999999999999,32.335329341316466,13.327,13.327,0.07619525555555555,381.24329104774534,0.03957481666666669,0.07619525555555555,2065.174,13,13.227,13.302,,,,,,,,,,,,,18.15927615777778,True,False,100.0
ul18_12_unit2,1,12.57,Block,2026-07-04 04:09:19.514306,Block_01_OCV12p57V_testday_bdps_2026-07-04_04-09-18.csv,12.600603341902314,12.6268425,0.506005847953217,56.27063386949814,-0.27000962566844855,-90.68481974699743,12.084030066815146,12.128640947075208,0.09833420952775518,137.07116253647104,12.188674185463658,0.17038542217719801,38.2534061232231,12.068000000000001,12.068,9.007,12.068000000000001,1.9721958914180643e-13,12.5176,12.227,9.003,12.142899999999997,32.27812951238471,12.477,12.51,0.195163475,35.749795690723296,1.0331758555555561,0.195163475,2065.178,13,12.043,12.56,,,,,,,,,,,,,18.15927615777778,True,False,94.0
ul18_12_unit2,1,12.44,Block,2026-07-04 04:52:46.980508,Block_01_OCV12p44V_testday_bdps_2026-07-04_04-52-45.csv,12.472600514138819,12.492999999999997,0.5042468671679163,56.07494999126902,-0.2723832887700528,-91.48259764657895,11.948545657015591,11.990669359331477,0.09768498989386491,1002.0362504892859,12.053130325814534,0.17811731387318214,40.03716226514551,11.935,11.935,9.003,11.9346,0.0,12.384999999999998,12.068,9.007,11.991200000000003,35.19484845120444,12.343,12.385,0.1951566158333333,35.7510426004755,1.0330613047222226,0.1951566158333333,2065.159,13,11.902,12.427,,,,,,,,,,,,,18.15927615777778,True,False,82.0
ul18_12_unit2,1,12.3,Block,2026-07-04 05:36:15.230197,Block_01_OCV12p30V_testday_bdps_2026-07-04_05-36-14.csv,12.337407145611106,12.359999999999998,0.5259101921470375,58.48442701028307,-0.28753736631016125,-96.58461371960989,11.782908685968819,11.836243386243385,0.10345628721389215,520.2690946502086,11.894443609022556,0.20247637617826722,45.5345689757687,11.768,11.768,9.003,11.763599999999999,0.0,12.242999999999999,11.877,9.003,11.801250000000001,40.65311562812372,12.21,12.243,0.19517776138888887,35.75639961441872,1.0327745952777774,0.19517776138888887,2065.166,13,11.718,12.293,,,,,,,,,,,,,18.15927615777778,True,False,68.0
ul18_12_unit2,1,12.17,Block,2026-07-04 06:19:43.298618,Block_01_OCV12p17V_testday_bdps_2026-07-04_06-19-42.csv,12.19975080323866,12.221248120300755,0.8478376775271492,94.28402981565075,-0.4855528743315496,-163.33149552157013,11.34706013363029,11.523948203842943,0.1938141777474971,445.3442392248735,11.590654135338347,0.34059182705745844,76.47401131171921,11.32715,11.335,9.003,11.328599999999998,-0.8719315783629062,12.102,11.643,9.003,11.3967,50.98300566477836,12.068,12.102,0.19513984944444449,35.758000052288374,1.0316655488888888,0.19533063277777782,2065.156,13,11.235,12.16,,,,,,,,,,,,,18.15927615777778,True,False,57.0
ul18_12_unit2,1,12.16,Block,2026-07-04 06:56:10.593026,Block_01_OCV12p16V_testday_bdps_2026-07-04_06-56-09.csv,12.165971336760927,12.169037593984962,0.841740434419382,93.60540586263764,-0.5341865641711241,-179.44231053364572,11.237256124721604,11.301914763231197,0.14094997425206224,634.8761002178127,11.487513784461154,0.3626523763200651,81.66685204905778,11.2326,11.218,9.007,11.21635,1.6209614744087626,12.026999999999997,11.518,9.003,11.277899999999999,56.536709985560016,11.993,12.027,0.1951637525,35.75105818428106,1.032204048888889,0.19538235694444445,2065.153,13,11.135,12.085,,,,,,,,,,,,,18.15927615777778,True,False,56.0
ul18_12_unit2,1,12.09,Block,2026-07-04 07:32:37.885852,Block_01_OCV12p09V_testday_bdps_2026-07-04_07-32-36.csv,12.094126606683803,12.102000000000004,0.8806882574174679,97.93780968811905,-0.505022034747741,-169.7077146211277,11.177177257525084,11.239686995265943,0.17358141120677487,562.593555805272,11.420696741854634,0.3553171773298825,79.54660778181479,11.148249999999997,11.127,9.023,11.147849999999998,2.3550925412830166,11.952,11.435,9.007,11.162249999999997,57.399800155434605,11.918,11.952,0.1951810663888889,35.7742981816144,1.031869129166666,0.1953691502777778,2065.189,13,11.068,12.01,,,,,,,,,,,,,18.15927615777778,True,False,49.0
ul18_12_unit2,1,11.85,Block,2026-07-04 08:16:05.955997,Block_01_OCV11p85V_testday_bdps_2026-07-04_08-16-04.csv,11.891919804652357,11.925533834586464,0.9911883876357539,110.22469504557529,-0.6106837566844909,-205.46609414261079,10.901255011135857,10.963875800612644,0.1292442899937267,31.633499846245194,11.168112781954886,0.40334943501739556,90.2068525318822,10.8669,10.86,9.017,10.8704,0.7652212487523462,11.768450000000001,11.093,9.007,10.8867,74.99167314311107,11.727,11.768,0.19516716611111118,35.76894232848641,1.0312773294444448,0.19551324166666673,2065.175,13,10.777,11.852,,,,,,,,,,,,,18.15927615777778,True,False,33.0
ul18_12_unit2,1,11.75,Block,2026-07-04 08:56:36.436611,Block_01_OCV11p75V_testday_bdps_2026-07-04_08-56-35.csv,11.786107055648374,11.813568922305766,1.0267369256474552,114.17983384613478,-0.5580361510190421,-187.7315956512681,10.622962095875138,10.727764411027568,0.17930674281171627,1599.5024510238475,10.905491228070176,0.48022932001049246,107.85910761757326,10.5672,10.551,9.01,10.595,1.7980022197557766,11.627000000000002,10.851,9.026,10.6089,85.97385331265252,11.568,11.627,0.19517701305555563,35.7727718558246,1.0315193391666668,0.1955006255555556,2065.194,13,10.418,11.727,,,,,,,,,,,,,18.15927615777778,True,False,26.0
ul18_12_unit2,1,11.73,Block,2026-07-04 09:35:04.851373,Block_01_OCV11p73V_testday_bdps_2026-07-04_09-35-03.csv,11.747067609254497,11.752962406015039,1.154227485380117,128.35716135831638,-0.7500888368983976,-251.77597150287468,10.40371714922049,10.558847953216375,0.1988671865588975,24.84545865867552,10.708002506265663,0.5102938634369296,114.88240288866308,10.399400000000002,10.393,9.017,10.30205,0.7097704336254931,11.499750000000002,10.668,9.007,10.446850000000001,92.34484289996705,11.427,11.502,0.1951200577777778,35.74042808842787,1.0321799194444439,0.19540980972222227,2065.175,13,10.243,11.627,,,,,,,,,,,,,18.15927615777778,True,False,25.0
