start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2020-11-02 12:57:51.225095,can_tapper20,2020-11-02 12:57:51.225095,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2020-11-02 12:57:51.225095,can_tapper20,2020-11-02 12:57:49.320991,-1.904104,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
0,2020-11-02 12:57:51.225095,can_tapper20,2020-11-02 12:57:52.904360,1.679265,Engine running command,Engine Status,status,"rgb(228,26,28)"
1,2020-11-02 13:31:59.590289,can_tapper20,2020-11-02 13:31:59.590289,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2020-11-02 13:31:59.590289,can_tapper20,2020-11-02 13:31:57.485664,-2.104625,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2020-11-02 13:31:59.590289,can_tapper20,2020-11-02 13:32:01.125664,1.535375,Engine running command,Engine Status,status,"rgb(55,126,184)"
2,2020-11-03 08:36:27.095598,can_tapper20,2020-11-03 08:36:27.095598,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2020-11-03 08:36:27.095598,can_tapper20,2020-11-03 08:36:24.991520,-2.104078,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2020-11-03 08:36:27.095598,can_tapper20,2020-11-03 08:36:29.057679,1.962081,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2020-11-03 16:12:14.645895,can_tapper20,2020-11-03 16:12:14.645895,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2020-11-03 16:12:14.645895,can_tapper20,2020-11-03 16:12:12.540193,-2.105702,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2020-11-03 16:12:14.645895,can_tapper20,2020-11-03 16:12:16.282370,1.636475,Engine running command,Engine Status,status,"rgb(152,78,163)"
3,2020-11-03 16:12:14.645895,can_tapper20,2020-11-03 16:13:53.949286,99.303391,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2020-11-03 16:12:14.645895,can_tapper20,2020-11-03 16:13:57.877024,103.231129,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2020-11-03 16:13:56.054394,can_tapper20,2020-11-03 16:13:56.054394,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2020-11-03 16:13:56.054394,can_tapper20,2020-11-03 16:13:53.949286,-2.105108,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2020-11-03 16:13:56.054394,can_tapper20,2020-11-03 16:13:57.877024,1.82263,Engine running command,Engine Status,status,"rgb(255,127,0)"
5,2020-11-04 08:23:03.408609,can_tapper20,2020-11-04 08:23:03.408609,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2020-11-04 08:23:03.408609,can_tapper20,2020-11-04 08:23:01.503222,-1.905387,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
5,2020-11-04 08:23:03.408609,can_tapper20,2020-11-04 08:23:05.041347,1.632738,Engine running command,Engine Status,status,"rgb(255,255,51)"
6,2020-11-17 07:26:05.592780,can_tapper20,2020-11-17 07:26:05.592780,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2020-11-17 07:26:05.592780,can_tapper20,2020-11-17 07:26:03.688813,-1.903967,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2020-11-17 07:26:05.592780,can_tapper20,2020-11-17 07:26:07.462631,1.869851,Engine running command,Engine Status,status,"rgb(166,86,40)"
7,2020-11-17 07:52:15.894242,can_tapper20,2020-11-17 07:52:15.894242,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2020-11-17 07:52:15.894242,can_tapper20,2020-11-17 07:52:13.789597,-2.104645,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2020-11-17 07:52:15.894242,can_tapper20,2020-11-17 07:52:17.855393,1.961151,Engine running command,Engine Status,status,"rgb(247,129,191)"
8,2020-11-17 09:58:47.656008,can_tapper20,2020-11-17 09:58:47.656008,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
8,2020-11-17 09:58:47.656008,can_tapper20,2020-11-17 09:58:45.556138,-2.09987,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
8,2020-11-17 09:58:47.656008,can_tapper20,2020-11-17 09:58:49.687038,2.03103,Engine running command,Engine Status,status,"rgb(153,153,153)"
9,2020-11-17 10:10:59.131359,can_tapper20,2020-11-17 10:10:59.131359,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
9,2020-11-17 10:10:59.131359,can_tapper20,2020-11-17 10:10:57.027581,-2.103778,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
9,2020-11-17 10:10:59.131359,can_tapper20,2020-11-17 10:11:00.763485,1.632126,Engine running command,Engine Status,status,"rgb(228,26,28)"
