start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
0,2020-11-02 10:23:38.241481,can_tapper16,2020-11-02 10:22:38.241481,2020-11-02 10:25:38.241481,13.583333333333334,59.919731,119.944524,,2160,389,178,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-02-09-56-29.pcap.gz
1,2020-11-02 13:46:18.276979,can_tapper16,2020-11-02 13:45:18.276979,2020-11-02 13:48:18.276979,14.383333333333335,59.863369,119.98598,12160.035498,2158,378,549,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-02-12-56-29.pcap.gz
2,2020-11-02 13:48:08.994860,can_tapper16,2020-11-02 13:47:08.994860,2020-11-02 13:50:08.994860,14.475,59.990782,119.912623,110.717881,2159,348,629,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-02-12-56-29.pcap.gz
3,2020-11-03 08:57:01.148757,can_tapper16,2020-11-03 08:56:01.148757,2020-11-03 08:59:01.148757,14.09,59.994197,119.966068,68932.153897,2159,402,523,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-03-08-16-59.pcap.gz
4,2020-11-03 12:09:45.776112,can_tapper16,2020-11-03 12:08:45.776112,2020-11-03 12:11:45.776112,14.233333333333334,59.987406,119.997402,11564.627355,2159,350,758,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-03-11-16-59.pcap.gz
5,2020-11-03 15:18:21.706696,can_tapper16,2020-11-03 15:17:21.706696,2020-11-03 15:20:21.706696,16.3,59.908951,119.980319,11315.930584,2159,386,669,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-03-15-16-59.pcap.gz
6,2020-11-04 08:49:58.662012,can_tapper16,2020-11-04 08:48:58.662012,2020-11-04 08:51:58.662012,,59.958844,119.963329,63096.955316,2160,401,398,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-04-08-02-45.pcap.gz
7,2020-11-04 10:39:59.057213,can_tapper16,2020-11-04 10:38:59.057213,2020-11-04 10:41:59.057213,,59.924724,119.964303,6600.395201,2159,354,400,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-04-10-02-45.pcap.gz
8,2020-11-04 13:19:58.831526,can_tapper16,2020-11-04 13:18:58.831526,2020-11-04 13:21:58.831526,12.0,59.896093,119.981494,9599.774313,1787,286,403,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-04-13-19-48.pcap.gz
9,2020-11-05 08:37:19.736817,can_tapper16,2020-11-05 08:36:19.736817,2020-11-05 08:39:19.736817,10.379999999999999,59.997527,119.972622,69440.905291,2159,409,381,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-05-08-05-08.pcap.gz
10,2020-11-05 10:05:57.886520,can_tapper16,2020-11-05 10:04:57.886520,2020-11-05 10:07:57.886520,12.608333333333333,59.857747,119.994705,5318.149703,2158,415,417,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-76_CP-14\20201103\can_Tapper16-11-05-10-05-08.pcap.gz
11,2021-01-12 14:11:49.177654,can_tapper16,2021-01-12 14:10:49.177654,2021-01-12 14:13:49.177654,3.8416666666666663,4.736263,119.873959,5889951.291134,1495,349,424,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-75_CP-11\20220117\can_Tapper16-01-12-14-11-44.pcap.gz
12,2021-01-12 14:14:03.526514,can_tapper16,2021-01-12 14:13:03.526514,2021-01-12 14:16:03.526514,3.85,59.779533,119.888569,134.34886,2157,484,626,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-04-75_CP-11\20220117\can_Tapper16-01-12-14-11-44.pcap.gz
