start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2020-11-02 10:23:38.241481,can_tapper16,2020-11-02 10:23:38.241481,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2020-11-02 10:23:38.241481,can_tapper16,2020-11-02 10:23:36.137314,-2.104167,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
0,2020-11-02 10:23:38.241481,can_tapper16,2020-11-02 10:23:39.875995,1.634514,Engine running command,Engine Status,status,"rgb(228,26,28)"
1,2020-11-02 13:46:18.276979,can_tapper16,2020-11-02 13:46:18.276979,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2020-11-02 13:46:18.276979,can_tapper16,2020-11-02 13:46:16.068459,-2.20852,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2020-11-02 13:46:18.276979,can_tapper16,2020-11-02 13:46:19.935452,1.658473,Engine running command,Engine Status,status,"rgb(55,126,184)"
1,2020-11-02 13:46:18.276979,can_tapper16,2020-11-02 13:48:09.268009,110.99103,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2020-11-02 13:46:18.276979,can_tapper16,2020-11-02 13:48:10.593428,112.316449,Engine running command,Engine Status,status,"rgb(55,126,184)"
2,2020-11-02 13:48:08.994860,can_tapper16,2020-11-02 13:48:08.994860,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2020-11-02 13:48:08.994860,can_tapper16,2020-11-02 13:48:09.268009,0.273149,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2020-11-02 13:48:08.994860,can_tapper16,2020-11-02 13:48:10.593428,1.598568,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2020-11-03 08:57:01.148757,can_tapper16,2020-11-03 08:57:01.148757,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2020-11-03 08:57:01.148757,can_tapper16,2020-11-03 08:56:58.944434,-2.204323,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2020-11-03 08:57:01.148757,can_tapper16,2020-11-03 08:57:02.799076,1.650319,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2020-11-03 12:09:45.776112,can_tapper16,2020-11-03 12:09:45.776112,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2020-11-03 12:09:45.776112,can_tapper16,2020-11-03 12:09:43.571541,-2.204571,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2020-11-03 12:09:45.776112,can_tapper16,2020-11-03 12:09:47.550413,1.774301,Engine running command,Engine Status,status,"rgb(255,127,0)"
5,2020-11-03 15:18:21.706696,can_tapper16,2020-11-03 15:18:21.706696,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2020-11-03 15:18:21.706696,can_tapper16,2020-11-03 15:18:19.604066,-2.10263,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
5,2020-11-03 15:18:21.706696,can_tapper16,2020-11-03 15:18:23.202317,1.495621,Engine running command,Engine Status,status,"rgb(255,255,51)"
6,2020-11-04 08:49:58.662012,can_tapper16,2020-11-04 08:49:58.662012,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2020-11-04 08:49:58.662012,can_tapper16,2020-11-04 08:49:56.558196,-2.103816,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2020-11-04 08:49:58.662012,can_tapper16,2020-11-04 08:50:00.127387,1.465375,Engine running command,Engine Status,status,"rgb(166,86,40)"
7,2020-11-04 10:39:59.057213,can_tapper16,2020-11-04 10:39:59.057213,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2020-11-04 10:39:59.057213,can_tapper16,2020-11-04 10:39:57.794021,-1.263192,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2020-11-04 10:39:59.057213,can_tapper16,2020-11-04 10:40:00.825153,1.76794,Engine running command,Engine Status,status,"rgb(247,129,191)"
8,2020-11-04 13:19:58.831526,can_tapper16,2020-11-04 13:19:58.831526,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
8,2020-11-04 13:19:58.831526,can_tapper16,2020-11-04 13:19:56.525371,-2.306155,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
8,2020-11-04 13:19:58.831526,can_tapper16,2020-11-04 13:20:00.610553,1.779027,Engine running command,Engine Status,status,"rgb(153,153,153)"
9,2020-11-05 08:37:19.736817,can_tapper16,2020-11-05 08:37:19.736817,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
9,2020-11-05 08:37:19.736817,can_tapper16,2020-11-05 08:37:17.630118,-2.106699,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
9,2020-11-05 08:37:19.736817,can_tapper16,2020-11-05 08:37:21.320240,1.583423,Engine running command,Engine Status,status,"rgb(228,26,28)"
10,2020-11-05 10:05:57.886520,can_tapper16,2020-11-05 10:05:57.886520,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
10,2020-11-05 10:05:57.886520,can_tapper16,2020-11-05 10:05:55.782415,-2.104105,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
10,2020-11-05 10:05:57.886520,can_tapper16,2020-11-05 10:05:59.447797,1.561277,Engine running command,Engine Status,status,"rgb(55,126,184)"
11,2021-01-12 14:11:49.177654,can_tapper16,2021-01-12 14:11:49.177654,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
11,2021-01-12 14:11:49.177654,can_tapper16,2021-01-12 14:11:49.571743,0.394089,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
11,2021-01-12 14:11:49.177654,can_tapper16,2021-01-12 14:11:50.939521,1.761867,Engine running command,Engine Status,status,"rgb(77,175,74)"
12,2021-01-12 14:14:03.526514,can_tapper16,2021-01-12 14:14:03.526514,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
12,2021-01-12 14:14:03.526514,can_tapper16,2021-01-12 14:14:03.905764,0.37925,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2021-01-12 14:14:03.526514,can_tapper16,2021-01-12 14:14:05.736401,2.209887,Engine running command,Engine Status,status,"rgb(152,78,163)"
13,2021-01-14 12:00:16.917310,can_tapper16,2021-01-14 12:00:16.917310,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
13,2021-01-14 12:00:16.917310,can_tapper16,2021-01-14 12:00:17.324683,0.407373,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
13,2021-01-14 12:00:16.917310,can_tapper16,2021-01-14 12:00:18.767281,1.849971,Engine running command,Engine Status,status,"rgb(255,127,0)"
14,2021-02-03 10:15:39.704841,can_tapper16,2021-02-03 10:15:39.704841,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
14,2021-02-03 10:15:39.704841,can_tapper16,2021-02-03 10:15:40.021838,0.316997,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
14,2021-02-03 10:15:39.704841,can_tapper16,2021-02-03 10:15:41.503491,1.79865,Engine running command,Engine Status,status,"rgb(255,255,51)"
15,2021-02-03 13:01:28.913155,can_tapper16,2021-02-03 13:01:28.913155,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
15,2021-02-03 13:01:28.913155,can_tapper16,2021-02-03 13:01:29.320786,0.407631,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
15,2021-02-03 13:01:28.913155,can_tapper16,2021-02-03 13:01:30.722056,1.808901,Engine running command,Engine Status,status,"rgb(166,86,40)"
16,2021-02-23 08:06:52.920851,can_tapper16,2021-02-23 08:06:52.920851,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
16,2021-02-23 08:06:52.920851,can_tapper16,2021-02-23 08:06:50.615206,-2.305645,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
16,2021-02-23 08:06:52.920851,can_tapper16,2021-02-23 08:06:54.726455,1.805604,Engine running command,Engine Status,status,"rgb(247,129,191)"
17,2021-02-23 10:13:40.226651,can_tapper16,2021-02-23 10:13:40.226651,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
17,2021-02-23 10:13:40.226651,can_tapper16,2021-02-23 10:13:40.528019,0.301368,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
