start_index,start_time,group,V_pre_1_10V,V_min_1_10V,V_drop_pct,soc_pct_est,R_internal_est_ohm,t_recovery_s,max_abs_imbalance_pct,mean_abs_imbalance_pct,temp_avg_start_C,R_int_mohm,V_pre_V,V_min_V
0,2021-12-02 14:07:38.655817,PG1_est,123.0,117.0,4.878048780487805,68.33333333333339,0.0021739130434782,0.01,1.2345679012345678,0.3031876229591931,21.15,2.1739130434782004,12.3,11.7
0,2021-12-02 14:07:38.655817,PG2,124.0,118.0,4.838709677419355,78.00000000000004,0.0021739130434782,0.01,1.2345679012345678,0.3886066685158589,21.15,2.1739130434782004,12.4,11.8
0,2021-12-02 14:07:38.655817,PG3_est,123.0,117.0,4.878048780487805,68.33333333333339,0.0021739130434782,0.01,1.2345679012345678,0.2501090666959235,21.15,2.1739130434782004,12.3,11.7
0,2021-12-02 14:07:38.655817,PG4,123.0,117.0,4.878048780487805,68.33333333333339,0.0021739130434782,0.01,1.2345679012345678,0.2501090666959235,21.15,2.1739130434782004,12.3,11.7
1,2021-12-02 14:36:30.387233,PG1_est,123.0,115.0,6.504065040650407,68.33333333333339,0.002919708029197,0.03,4.3478260869565215,1.047333837766863,18.75,2.919708029197,12.3,11.5
1,2021-12-02 14:36:30.387233,PG2,124.0,118.0,4.838709677419355,78.00000000000004,0.0021897810218978,0.01,2.542372881355932,0.2385184925174324,18.75,2.1897810218978,12.4,11.8
1,2021-12-02 14:36:30.387233,PG3_est,123.0,118.0,4.065040650406504,68.33333333333339,0.0018248175182481,0.01,2.277432712215321,0.4718067461971728,18.75,1.8248175182481001,12.3,11.8
1,2021-12-02 14:36:30.387233,PG4,123.0,118.0,4.065040650406504,68.33333333333339,0.0018248175182481,0.01,2.277432712215321,0.4718067461971728,18.75,1.8248175182481001,12.3,11.8
2,2021-12-02 15:16:49.672519,PG1_est,121.0,105.0,13.223140495867767,52.857142857142826,0.0032786885245901,0.5000000000000002,10.19522776572668,1.9812160598768545,18.56714285714286,3.2786885245901,12.1,10.5
2,2021-12-02 15:16:49.672519,PG2,122.0,110.0,9.836065573770492,60.0,0.0024590163934426,0.7500000000000007,5.856832971800434,0.7941836280579654,18.56714285714286,2.4590163934426004,12.2,11.0
2,2021-12-02 15:16:49.672519,PG3_est,122.0,109.0,10.655737704918032,60.0,0.0026639344262295,1.500000000000001,5.422993492407809,0.8858059215420502,18.56714285714286,2.6639344262295,12.2,10.9
2,2021-12-02 15:16:49.672519,PG4,122.0,109.0,10.655737704918032,60.0,0.0026639344262295,1.500000000000001,5.422993492407809,0.8858059215420502,18.56714285714286,2.6639344262295,12.2,10.9
