start_index,start_time,V_pre_total_1_10V,V_min_total_1_10V,V_drop_total_pct,soc_pct_est_pack,temp_avg_start_C,R_internal_est_ohm_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max,R_int_mohm
0,2021-12-02 14:07:38.655817,493.0,469.0,4.86815415821501,70.75000000000004,21.15,0.008695652173913,1.2345679012345678,0.2980031062167248,0.01,8.695652173913
1,2021-12-02 14:36:30.387233,493.0,469.0,4.86815415821501,70.75000000000004,18.75,0.0087591240875912,4.3478260869565215,0.5573664556696603,0.03,8.7591240875912
2,2021-12-02 15:16:49.672519,487.0,433.0,11.088295687885012,58.21428571428571,18.56714285714286,0.0110655737704918,10.19522776572668,1.13675288275473,1.500000000000001,11.065573770491799
3,2021-12-03 07:51:05.295463,484.0,437.0,9.710743801652892,52.857142857142826,17.303571428571427,0.0095141700404858,5.099778270509978,1.2433013412860057,1.0100000000000011,9.5141700404858
4,2021-12-03 07:54:37.632662,493.0,450.0,8.72210953346856,70.75000000000004,17.205000000000002,0.0087398373983739,4.237288135593221,0.946007714967149,1.250000000000001,8.7398373983739
5,2021-12-06 08:12:36.206141,485.0,438.0,9.690721649484535,54.642857142857125,15.4,0.0095528455284552,8.444444444444445,0.9212220854706564,1.5000000000000016,9.552845528455201
6,2021-12-06 08:18:14.808642,499.0,442.0,11.422845691382763,87.00000000000001,15.506666666666666,0.0117283950617283,8.423326133909287,1.2000299961796848,1.5000000000000016,11.7283950617283
7,2021-12-06 08:50:50.269040,485.0,435.0,10.309278350515465,54.642857142857125,15.379166666666668,0.0102249488752556,12.0,0.8814190467377421,1.0000000000000009,10.2249488752556
8,2021-12-06 08:52:05.115946,505.0,452.0,10.495049504950495,96.25,15.4,0.0108384458077709,7.23404255319149,0.7250329723553375,1.0000000000000009,10.8384458077709
9,2021-12-06 09:30:45.268621,485.0,445.0,8.24742268041237,54.642857142857125,15.375,0.0081967213114754,4.641350210970464,0.7437586212473695,0.5000000000000009,8.1967213114754
10,2021-12-06 09:32:05.026704,508.0,443.0,12.79527559055118,100.0,15.375,0.0134020618556701,14.87603305785124,0.5679527803823177,1.000000000000001,13.4020618556701
11,2021-12-06 09:47:10.165223,485.0,428.0,11.752577319587628,54.642857142857125,15.341666666666669,0.0116326530612244,15.151515151515152,0.5566600448702487,1.0000000000000009,11.632653061224401
12,2021-12-06 10:16:31.254854,485.0,421.0,13.195876288659797,54.642857142857125,15.275,0.0130346232179226,19.290465631929045,1.219427626479573,1.5000000000000016,13.0346232179226
13,2021-12-06 10:34:17.070988,500.0,451.0,9.8,90.0,15.275,0.0100409836065573,7.758620689655173,0.8549576967622666,1.500000000000001,10.040983606557301
14,2021-12-06 10:36:41.051526,504.0,435.0,13.690476190476192,95.0,17.119999999999997,0.0140529531568228,18.629550321199144,1.7488581418494151,1.5000000000000016,14.052953156822799
15,2021-12-06 10:42:10.512549,492.0,438.0,10.975609756097562,68.33333333333339,15.447619047619048,0.011042944785276,9.050772626931566,0.7392491803199744,1.0000000000000009,11.042944785276
16,2021-12-06 10:47:33.222062,496.0,442.0,10.887096774193548,78.00000000000004,15.35,0.011042944785276,11.397849462365592,0.6292877122634123,1.250000000000001,11.042944785276
17,2021-12-06 10:48:10.352193,496.0,449.0,9.475806451612904,78.00000000000004,15.35833333333333,0.0096707818930041,8.459869848156183,0.9067194301463596,1.0000000000000009,9.670781893004099
18,2021-12-07 07:01:46.625096,481.0,458.0,4.781704781704782,47.90178571428569,15.75,0.0076923076923076,2.78372591006424,0.6089779408632735,0.01,7.6923076923076
19,2021-12-16 07:36:08.039748,473.0,442.0,6.553911205073996,40.0,19.933333333333334,0.0088825214899713,4.635761589403973,0.6984408461594931,1.000000000000001,8.8825214899713
20,2021-12-16 09:37:15.952660,481.0,454.0,5.613305613305614,47.90178571428569,13.466666666666663,0.007563025210084,2.386117136659436,0.4325238022294626,0.5000000000000004,7.563025210084
21,2021-12-16 09:41:39.510397,495.0,426.0,13.93939393939394,75.58333333333339,13.45,0.0140816326530612,17.94871794871795,0.3337729124272119,1.0000000000000009,14.0816326530612
22,2022-01-20 08:25:57.775099,489.0,446.0,8.793456032719837,62.08333333333334,2.1,0.0086868686868686,11.20689655172414,0.7880171773748874,1.0000000000000009,8.6868686868686
23,2022-01-24 07:32:32.923586,488.0,461.0,5.532786885245901,60.0,3.5,0.0088815789473684,3.734439834024896,0.3248248771356284,0.01,8.8815789473684
24,2022-01-24 08:31:49.805103,484.0,431.0,10.950413223140496,52.857142857142826,4.95,0.0109278350515463,9.287257019438444,1.7459418136800844,1.500000000000001,10.927835051546301
25,2022-01-25 08:01:13.646631,448.0,397.0,11.383928571428571,40.0,6.233333333333333,0.0103030303030303,9.535452322738386,1.0878043313550747,1.500000000000001,10.3030303030303
26,2022-01-25 11:27:55.566258,477.0,421.0,11.740041928721174,41.56249999999999,7.796666666666667,0.0113360323886639,12.808988764044944,0.6544229856078414,1.0000000000000009,11.3360323886639
27,2022-01-25 12:28:00.689893,480.0,457.0,4.791666666666667,46.24999999999997,6.65,0.0064971751412429,3.67170626349892,0.4394691473283501,0.01,6.4971751412429
28,2022-01-26 07:35:58.318298,454.0,394.0,13.215859030837004,40.0,7.15,0.0175438596491228,14.814814814814817,1.449877427012882,1.500000000000001,17.543859649122798
29,2022-01-26 09:03:42.296411,484.0,424.0,12.396694214876034,52.857142857142826,10.141666666666666,0.0122448979591836,11.009174311926603,1.020135765271429,1.000000000000001,12.2448979591836
30,2022-01-27 07:42:40.632569,405.0,323.0,20.246913580246915,40.0,5.375,0.035042735042735,16.408668730650156,5.788782497389065,1.500000000000001,35.042735042735
31,2022-01-27 09:12:44.861055,480.0,428.0,10.833333333333334,46.24999999999997,10.6625,0.0105691056910569,13.043478260869565,0.4282370122497667,1.0000000000000009,10.5691056910569
32,2022-01-27 09:21:26.100844,496.0,425.0,14.31451612903226,78.00000000000004,11.1,0.0145194274028629,13.895216400911162,1.311575153233373,1.5000000000000016,14.5194274028629
33,2022-03-15 09:44:19.963826,557.0,384.0,31.05924596050269,100.0,11.285,0.0350202429149797,24.153498871331827,2.740996233784869,1.0000000000000009,35.020242914979704
34,2022-04-14 08:14:38.731284,606.0,385.0,36.46864686468646,100.0,11.3,0.0444668008048289,33.46855983772819,11.72998350278628,1.5100000000000011,44.4668008048289
35,2022-04-19 07:33:58.915003,497.0,451.0,9.25553319919517,81.00000000000004,17.825,0.0092929292929292,5.2631578947368425,1.2032298720554504,1.010000000000001,9.2929292929292
36,2022-04-19 07:34:25.474679,500.0,454.0,9.2,90.0,17.758333333333333,0.0093117408906882,2.459016393442623,0.5217116590648473,1.010000000000001,9.311740890688199
37,2022-04-19 13:03:49.727457,500.0,442.0,11.6,90.0,18.616666666666667,0.0117647058823529,12.258064516129032,0.5828988702556536,1.000000000000001,11.7647058823529
38,2022-04-20 08:16:50.247012,501.0,476.0,4.990019960079841,91.25,18.541666666666668,0.0064599483204134,2.459016393442623,0.3895588920388871,0.5000000000000004,6.4599483204134
39,2022-04-20 09:18:49.253907,504.0,475.0,5.753968253968254,95.0,18.35,0.0071604938271604,1.6129032258064515,0.4368272276967776,0.5000000000000002,7.1604938271603995
40,2022-05-16 08:52:17.547990,489.0,435.0,11.042944785276074,62.08333333333334,15.8,0.0109311740890688,16.017316017316016,1.7158221470742387,1.000000000000001,10.931174089068799
