timestamp,voltage,current,temperature,humidity
2026-08-03T09:35:31.306641,13.33,9.92,23.2,52.2
2026-08-03T09:35:31.376493,13.33,9.91,23.2,52.2
2026-08-03T09:35:31.445906,13.33,9.9,23.2,52.2
2026-08-03T09:35:31.518672,13.33,9.9,23.2,52.2
2026-08-03T09:35:31.589009,13.33,9.9,23.2,52.2
2026-08-03T09:35:31.658948,13.33,9.9,23.2,52.2
2026-08-03T09:35:31.728495,13.33,9.89,23.2,52.2
2026-08-03T09:35:31.801163,13.33,9.89,23.2,52.2
2026-08-03T09:35:31.871364,13.33,9.9,23.2,52.2
2026-08-03T09:35:31.941397,13.33,9.89,23.2,52.2
2026-08-03T09:35:32.011405,13.33,9.93,23.2,52.2
2026-08-03T09:35:32.083674,13.33,9.88,23.2,52.2
2026-08-03T09:35:32.153892,13.33,9.91,23.2,52.2
2026-08-03T09:35:32.326771,13.33,9.9,23.2,52.2
2026-08-03T09:35:32.396335,13.33,9.88,23.2,52.2
2026-08-03T09:35:32.468808,13.33,9.88,23.2,52.2
2026-08-03T09:35:32.539028,13.33,9.89,23.2,52.2
2026-08-03T09:35:32.609301,13.33,9.88,23.2,52.2
2026-08-03T09:35:32.678795,13.33,9.88,23.2,52.2
2026-08-03T09:35:32.751339,13.33,9.89,23.2,52.2
2026-08-03T09:35:32.821789,13.33,9.88,23.2,52.2
2026-08-03T09:35:32.891739,13.33,9.9,23.2,52.2
2026-08-03T09:35:32.961326,13.33,9.86,23.2,52.2
2026-08-03T09:35:33.033929,13.33,9.88,23.2,52.2
2026-08-03T09:35:33.104325,13.33,9.9,23.2,52.2
2026-08-03T09:35:33.174363,13.33,9.9,23.2,52.2
2026-08-03T09:35:33.346629,13.33,9.9,23.2,52.2
2026-08-03T09:35:33.419101,13.33,9.88,23.2,52.2
2026-08-03T09:35:33.489289,13.33,9.88,23.2,52.2
2026-08-03T09:35:33.559557,13.33,9.9,23.2,52.2
2026-08-03T09:35:33.628984,13.33,9.89,23.2,52.2
2026-08-03T09:35:33.701530,13.33,9.9,23.2,52.2
2026-08-03T09:35:33.771876,13.33,9.9,23.2,52.2
2026-08-03T09:35:33.842037,13.33,9.88,23.2,52.2
