start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2021-12-02 14:07:38.655817,can_tapper11,2021-12-02 14:07:38.655817,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2021-12-02 14:07:38.655817,can_tapper11,2021-12-02 14:07:38.883884,0.228067,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
0,2021-12-02 14:07:38.655817,can_tapper11,2021-12-02 14:07:40.337935,1.682118,Engine running command,Engine Status,status,"rgb(228,26,28)"
1,2021-12-02 14:36:30.387233,can_tapper11,2021-12-02 14:36:30.387233,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2021-12-02 14:36:30.387233,can_tapper11,2021-12-02 14:36:30.611927,0.224694,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2021-12-02 14:36:30.387233,can_tapper11,2021-12-02 14:36:31.884429,1.497196,Engine running command,Engine Status,status,"rgb(55,126,184)"
2,2021-12-02 15:16:49.672519,can_tapper11,2021-12-02 15:16:49.672519,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2021-12-02 15:16:49.672519,can_tapper11,2021-12-02 15:16:50.047067,0.374548,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2021-12-02 15:16:49.672519,can_tapper11,2021-12-02 15:16:51.277843,1.605324,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2021-12-03 07:51:05.295463,can_tapper11,2021-12-03 07:51:05.295463,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2021-12-03 07:51:05.295463,can_tapper11,2021-12-03 07:51:03.091911,-2.203552,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2021-12-03 07:51:05.295463,can_tapper11,2021-12-03 07:51:07.074600,1.779137,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2021-12-03 07:54:37.632662,can_tapper11,2021-12-03 07:54:37.632662,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2021-12-03 07:54:37.632662,can_tapper11,2021-12-03 07:54:35.528998,-2.103664,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2021-12-03 07:54:37.632662,can_tapper11,2021-12-03 07:54:39.539309,1.906647,Engine running command,Engine Status,status,"rgb(255,127,0)"
5,2021-12-06 08:12:36.206141,can_tapper11,2021-12-06 08:12:36.206141,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2021-12-06 08:12:36.206141,can_tapper11,2021-12-06 08:12:34.002153,-2.203988,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
5,2021-12-06 08:12:36.206141,can_tapper11,2021-12-06 08:12:37.986954,1.780813,Engine running command,Engine Status,status,"rgb(255,255,51)"
6,2021-12-06 08:18:14.808642,can_tapper11,2021-12-06 08:18:14.808642,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2021-12-06 08:18:14.808642,can_tapper11,2021-12-06 08:18:12.504129,-2.304513,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2021-12-06 08:18:14.808642,can_tapper11,2021-12-06 08:18:16.350299,1.541657,Engine running command,Engine Status,status,"rgb(166,86,40)"
7,2021-12-06 08:50:50.269040,can_tapper11,2021-12-06 08:50:50.269040,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2021-12-06 08:50:50.269040,can_tapper11,2021-12-06 08:50:40.155648,-10.113392,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2021-12-06 08:50:50.269040,can_tapper11,2021-12-06 08:50:48.161852,-2.107188,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2021-12-06 08:50:50.269040,can_tapper11,2021-12-06 08:50:51.884148,1.615108,Engine running command,Engine Status,status,"rgb(247,129,191)"
7,2021-12-06 08:50:50.269040,can_tapper11,2021-12-06 08:52:03.107796,72.838756,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2021-12-06 08:50:50.269040,can_tapper11,2021-12-06 08:52:06.654535,76.385495,Engine running command,Engine Status,status,"rgb(247,129,191)"
