start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
19,2022-07-21 12:13:45.863182,can_tapper14,2022-07-21 12:12:45.863182,2022-07-21 12:15:45.863182,25.1,59.980732,119.850649,138.261173,2158,433,602,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-12-11-06.pcap.gz
20,2022-07-21 12:18:40.419967,can_tapper14,2022-07-21 12:17:40.419967,2022-07-21 12:20:40.419967,25.15,46.454079,119.878918,294.556785,1998,314,414,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-12-17-53.pcap.gz
21,2022-07-21 12:20:55.375866,can_tapper14,2022-07-21 12:19:55.375866,2022-07-21 12:22:55.375866,25.2,59.873442,119.989449,134.955899,2159,407,556,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-12-17-53.pcap.gz
22,2022-08-01 11:27:57.376207,can_tapper14,2022-08-01 11:26:57.376207,2022-08-01 11:29:57.376207,19.925,24.088661,119.977802,947222.000341,1729,370,671,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-08-01-11-27-32.pcap.gz
23,2022-08-02 07:56:26.541845,can_tapper14,2022-08-02 07:55:26.541845,2022-08-02 07:58:26.541845,19.977272727272727,59.92861,119.908102,73709.165638,2160,442,937,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-08-02-07-54-05.pcap.gz
24,2022-08-02 08:11:59.698334,can_tapper14,2022-08-02 08:10:59.698334,2022-08-02 08:13:59.698334,19.97142857142857,5.143516,119.973124,933.156489,1503,312,507,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-08-02-08-11-54.pcap.gz
25,2022-08-02 09:04:47.959845,can_tapper14,2022-08-02 09:03:47.959845,2022-08-02 09:06:47.959845,20.083333333333332,1.409566,102.425287,3168.261511,1246,254,396,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-08-02-09-04-46.pcap.gz
26,2022-08-02 12:00:27.808972,can_tapper14,2022-08-02 11:59:27.808972,2022-08-02 12:02:27.808972,21.665,21.621303,119.957769,10539.849127,1699,329,572,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-08-02-12-00-06.pcap.gz
27,2022-09-12 12:53:44.001602,can_tapper14,2022-09-12 12:52:44.001602,2022-09-12 12:55:44.001602,15.775,8.554713,119.802197,3545596.19263,1542,352,495,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-12-12-53-35.pcap.gz
28,2022-09-13 13:49:20.078510,can_tapper14,2022-09-13 13:48:20.078510,2022-09-13 13:51:20.078510,19.75,59.916752,119.929793,89736.076908,2158,418,810,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-13-12-50-22.pcap.gz
