start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
736,2024-10-29 14:16:47.838305,can_tapper14,2024-10-29 14:17:57.066454,69.228149,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
736,2024-10-29 14:16:47.838305,can_tapper14,2024-10-29 14:18:01.045726,73.207421,Engine running command,Engine Status,status,"rgb(247,129,191)"
737,2024-10-29 14:17:59.269719,can_tapper14,2024-10-29 14:17:59.269719,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
737,2024-10-29 14:17:59.269719,can_tapper14,2024-10-29 14:17:57.066454,-2.203265,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
737,2024-10-29 14:17:59.269719,can_tapper14,2024-10-29 14:18:01.045726,1.776007,Engine running command,Engine Status,status,"rgb(153,153,153)"
738,2024-10-29 14:43:03.395100,can_tapper14,2024-10-29 14:43:03.395100,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
738,2024-10-29 14:43:03.395100,can_tapper14,2024-10-29 14:43:01.090918,-2.304182,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
738,2024-10-29 14:43:03.395100,can_tapper14,2024-10-29 14:43:04.719424,1.324324,Engine running command,Engine Status,status,"rgb(228,26,28)"
738,2024-10-29 14:43:03.395100,can_tapper14,2024-10-29 14:44:48.780574,105.385474,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
738,2024-10-29 14:43:03.395100,can_tapper14,2024-10-29 14:44:52.621154,109.226054,Engine running command,Engine Status,status,"rgb(228,26,28)"
739,2024-10-29 14:44:51.086243,can_tapper14,2024-10-29 14:44:51.086243,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
739,2024-10-29 14:44:51.086243,can_tapper14,2024-10-29 14:44:48.780574,-2.305669,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
739,2024-10-29 14:44:51.086243,can_tapper14,2024-10-29 14:44:52.621154,1.534911,Engine running command,Engine Status,status,"rgb(55,126,184)"
739,2024-10-29 14:44:51.086243,can_tapper14,2024-10-29 14:45:50.401811,59.315568,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
739,2024-10-29 14:44:51.086243,can_tapper14,2024-10-29 14:45:54.234668,63.148425,Engine running command,Engine Status,status,"rgb(55,126,184)"
740,2024-10-29 14:45:52.707224,can_tapper14,2024-10-29 14:45:52.707224,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
