start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2020-03-03 11:07:41.193508,can_tapper17,2020-03-03 11:07:41.193508,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2020-03-03 11:07:41.193508,can_tapper17,2020-03-03 11:07:42.901038,1.70753,Engine running command,Engine Status,status,"rgb(228,26,28)"
0,2020-03-03 11:07:41.193508,can_tapper17,2020-03-03 11:07:43.249437,2.055929,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
1,2020-09-03 10:02:45.514642,can_tapper17,2020-09-03 10:02:45.514642,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2020-09-03 10:02:45.514642,can_tapper17,2020-09-03 10:02:45.854690,0.340048,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2020-09-03 10:02:45.514642,can_tapper17,2020-09-03 10:02:47.160700,1.646058,Engine running command,Engine Status,status,"rgb(55,126,184)"
2,2020-09-03 13:50:03.820438,can_tapper17,2020-09-03 13:50:03.820438,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2020-09-03 13:50:03.820438,can_tapper17,2020-09-03 13:50:04.117985,0.297547,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2020-09-03 13:50:03.820438,can_tapper17,2020-09-03 13:50:05.456929,1.636491,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2020-09-08 11:08:28.871424,can_tapper17,2020-09-08 11:08:28.871424,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2020-09-08 11:08:28.871424,can_tapper17,2020-09-08 11:08:29.060878,0.189454,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2020-09-08 11:08:28.871424,can_tapper17,2020-09-08 11:08:30.520528,1.649104,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2020-09-10 09:07:33.503378,can_tapper17,2020-09-10 09:07:33.503378,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2020-09-10 09:07:33.503378,can_tapper17,2020-09-10 09:07:33.806509,0.303131,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2020-09-10 09:07:33.503378,can_tapper17,2020-09-10 09:07:34.921941,1.418563,Engine running command,Engine Status,status,"rgb(255,127,0)"
5,2020-09-10 11:44:49.531459,can_tapper17,2020-09-10 11:44:49.531459,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2020-09-10 11:44:49.531459,can_tapper17,2020-09-10 11:44:49.922701,0.391242,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
5,2020-09-10 11:44:49.531459,can_tapper17,2020-09-10 11:44:51.213665,1.682206,Engine running command,Engine Status,status,"rgb(255,255,51)"
