start_index,start_time,can_tapper_id,t_rel,FM-Center Voltage PG1_est in 1/10V,FM-Center Voltage PG2 in 1/10V,FM-Center Voltage PG3_est in 1/10V,FM-Center Voltage PG4 in 1/10V,FM-Total Voltage in 1/10V,V_residual,V_mean_groups
0,2021-12-02 14:07:38.655817,can_tapper11,-60.0,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.98,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.96,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.93999999999999,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.91999999999999,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.899999999999984,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.87999999999998,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.85999999999998,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.839999999999975,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.81999999999997,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.79999999999997,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.779999999999966,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.75999999999996,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.73999999999996,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.71999999999996,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.69999999999995,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.67999999999995,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.65999999999995,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.63999999999994,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.61999999999994,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.59999999999994,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.579999999999934,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.55999999999993,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.53999999999993,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.519999999999925,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.49999999999992,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.47999999999992,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.45999999999992,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.43999999999991,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.41999999999991,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.39999999999991,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.3799999999999,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.3599999999999,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.3399999999999,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.31999999999989,,,,,,,
