start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2021-02-22 13:21:36.235960,can_tapper14,2021-02-22 13:21:36.235960,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2021-02-22 13:21:36.235960,can_tapper14,2021-02-22 13:21:36.640794,0.404834,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
0,2021-02-22 13:21:36.235960,can_tapper14,2021-02-22 13:21:38.109094,1.873134,Engine running command,Engine Status,status,"rgb(228,26,28)"
1,2021-03-05 07:21:16.625932,can_tapper14,2021-03-05 07:21:16.625932,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2021-03-05 07:21:16.625932,can_tapper14,2021-03-05 07:21:16.934628,0.308696,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2021-03-05 07:21:16.625932,can_tapper14,2021-03-05 07:21:18.862153,2.236221,Engine running command,Engine Status,status,"rgb(55,126,184)"
1,2021-03-05 07:21:16.625932,can_tapper14,2021-03-05 07:21:20.934452,4.30852,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
2,2022-02-02 13:22:15.223224,can_tapper14,2022-02-02 13:22:15.223224,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2022-02-02 13:22:15.223224,can_tapper14,2022-02-02 13:22:13.018808,-2.204416,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2022-02-02 13:22:15.223224,can_tapper14,2022-02-02 13:22:16.731239,1.508015,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2022-02-02 13:37:55.008369,can_tapper14,2022-02-02 13:37:55.008369,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2022-02-02 13:37:55.008369,can_tapper14,2022-02-02 13:37:52.703563,-2.304806,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2022-02-02 13:37:55.008369,can_tapper14,2022-02-02 13:37:56.283080,1.274711,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2022-02-02 13:40:22.051717,can_tapper14,2022-02-02 13:40:22.051717,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2022-02-02 13:40:22.051717,can_tapper14,2022-02-02 13:40:19.947982,-2.103735,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2022-02-02 13:40:22.051717,can_tapper14,2022-02-02 13:40:23.459568,1.407851,Engine running command,Engine Status,status,"rgb(255,127,0)"
5,2022-02-02 13:54:44.212920,can_tapper14,2022-02-02 13:54:44.212920,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2022-02-02 13:54:44.212920,can_tapper14,2022-02-02 13:54:42.105628,-2.107292,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
5,2022-02-02 13:54:44.212920,can_tapper14,2022-02-02 13:54:45.769063,1.556143,Engine running command,Engine Status,status,"rgb(255,255,51)"
6,2022-02-15 15:05:05.638032,can_tapper14,2022-02-15 15:05:05.638032,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2022-02-15 15:05:05.638032,can_tapper14,2022-02-15 15:05:03.634007,-2.004025,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2022-02-15 15:05:05.638032,can_tapper14,2022-02-15 15:05:07.272601,1.634569,Engine running command,Engine Status,status,"rgb(166,86,40)"
7,2022-03-24 09:36:31.132128,can_tapper14,2022-03-24 09:36:31.132128,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2022-03-24 09:36:31.132128,can_tapper14,2022-03-24 09:36:31.452303,0.320175,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2022-03-24 09:36:31.132128,can_tapper14,2022-03-24 09:36:32.804328,1.6722,Engine running command,Engine Status,status,"rgb(247,129,191)"
8,2022-03-24 10:00:28.280511,can_tapper14,2022-03-24 10:00:28.280511,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
8,2022-03-24 10:00:28.280511,can_tapper14,2022-03-24 10:00:25.974186,-2.306325,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
8,2022-03-24 10:00:28.280511,can_tapper14,2022-03-24 10:00:29.797611,1.5171,Engine running command,Engine Status,status,"rgb(153,153,153)"
9,2022-03-28 09:22:01.181325,can_tapper14,2022-03-28 09:22:01.181325,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
9,2022-03-28 09:22:01.181325,can_tapper14,2022-03-28 09:22:01.567784,0.386459,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
9,2022-03-28 09:22:01.181325,can_tapper14,2022-03-28 09:22:02.566519,1.385194,Engine running command,Engine Status,status,"rgb(228,26,28)"
10,2022-04-07 21:26:40.302044,can_tapper14,2022-04-07 21:26:40.302044,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
10,2022-04-07 21:26:40.302044,can_tapper14,2022-04-07 21:26:38.299135,-2.002909,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
10,2022-04-07 21:26:40.302044,can_tapper14,2022-04-07 21:26:41.874258,1.572214,Engine running command,Engine Status,status,"rgb(55,126,184)"
11,2022-05-16 08:49:42.262467,can_tapper14,2022-05-16 08:49:42.262467,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
11,2022-05-16 08:49:42.262467,can_tapper14,2022-05-16 08:49:40.057440,-2.205027,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
11,2022-05-16 08:49:42.262467,can_tapper14,2022-05-16 08:49:43.906506,1.644039,Engine running command,Engine Status,status,"rgb(77,175,74)"
12,2022-05-16 09:21:59.927000,can_tapper14,2022-05-16 09:21:59.927000,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
12,2022-05-16 09:21:59.927000,can_tapper14,2022-05-16 09:22:00.275107,0.348107,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
