start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
0,2021-02-22 13:21:36.235960,can_tapper14,2021-02-22 13:20:36.235960,2021-02-22 13:23:36.235960,10.85,15.404833,36.400913,,623,129,144,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-02-22-13-21-20.pcap.gz
1,2021-03-05 07:21:16.625932,can_tapper14,2021-03-05 07:20:16.625932,2021-03-05 07:23:16.625932,,13.300584,119.992097,928780.389972,1600,335,390,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-03-05-07-21-03.pcap.gz
2,2022-02-02 13:22:15.223224,can_tapper14,2022-02-02 13:21:15.223224,2022-02-02 13:24:15.223224,13.030000000000001,59.903578,119.925878,28879258.597292,2160,392,593,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-02-02-13-20-10.pcap.gz
3,2022-02-02 13:37:55.008369,can_tapper14,2022-02-02 13:36:55.008369,2022-02-02 13:39:55.008369,13.225,59.962498,102.946438,939.785145,1955,389,402,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-02-02-13-20-10.pcap.gz
4,2022-02-02 13:40:22.051717,can_tapper14,2022-02-02 13:39:22.051717,2022-02-02 13:42:22.051717,13.323333333333334,59.975431,119.91982,147.043348,1692,352,454,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-02-02-13-40-16.pcap.gz
5,2022-02-02 13:54:44.212920,can_tapper14,2022-02-02 13:53:44.212920,2022-02-02 13:56:44.212920,13.575,59.872276,119.991679,862.161203,2158,411,555,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-02-02-13-40-16.pcap.gz
6,2022-02-15 15:05:05.638032,can_tapper14,2022-02-15 15:04:05.638032,2022-02-15 15:07:05.638032,8.59,59.98545,119.958606,1127421.425112,2160,433,568,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-02-15-14-57-11.pcap.gz
7,2022-03-24 09:36:31.132128,can_tapper14,2022-03-24 09:35:31.132128,2022-03-24 09:38:31.132128,8.952857142857145,22.543445,119.848017,3177085.494096,1710,394,600,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-03-24-09-36-08.pcap.gz
8,2022-03-24 10:00:28.280511,can_tapper14,2022-03-24 09:59:28.280511,2022-03-24 10:02:28.280511,7.9,8.49998,74.846724,1437.148383,1002,230,298,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-03-24-10-00-19.pcap.gz
9,2022-03-28 09:22:01.181325,can_tapper14,2022-03-28 09:21:01.181325,2022-03-28 09:24:01.181325,15.15,59.991825,107.228335,343292.900814,2007,388,645,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-03-28-09-04-34.pcap.gz
10,2022-04-07 21:26:40.302044,can_tapper14,2022-04-07 21:25:40.302044,2022-04-07 21:28:40.302044,11.555,59.997224,119.870218,907479.120719,2159,447,509,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\TEMP\data Chris Rijsdijk\can_Tapper14-04-07-21-24-14.pcap.gz
11,2022-05-16 08:49:42.262467,can_tapper14,2022-05-16 08:48:42.262467,2022-05-16 08:51:42.262467,18.1,59.896738,119.952772,3324181.960423,2160,369,454,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-05-16-08-46-29.pcap.gz
12,2022-05-16 09:21:59.927000,can_tapper14,2022-05-16 09:20:59.927000,2022-05-16 09:23:59.927000,21.841666666666665,59.891592,119.973432,1937.664533,2158,457,724,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-05-16-08-46-29.pcap.gz
