start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2025-11-05 12:49:31.764789,can_tapper35,2025-11-05 12:49:31.764789,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2025-11-05 12:49:31.764789,can_tapper35,2025-11-05 12:49:33.229517,1.464728,Engine running command,Engine Status,status,"rgb(228,26,28)"
0,2025-11-05 12:49:31.764789,can_tapper35,2025-11-05 12:49:33.858574,2.093785,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
0,2025-11-05 12:49:31.764789,can_tapper35,2025-11-05 12:51:02.296995,90.532206,Engine running command,Engine Status,status,"rgb(228,26,28)"
0,2025-11-05 12:49:31.764789,can_tapper35,2025-11-05 12:51:02.676770,90.911981,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
1,2025-11-05 12:51:00.657219,can_tapper35,2025-11-05 12:51:00.657219,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2025-11-05 12:51:00.657219,can_tapper35,2025-11-05 12:51:02.296995,1.639776,Engine running command,Engine Status,status,"rgb(55,126,184)"
1,2025-11-05 12:51:00.657219,can_tapper35,2025-11-05 12:51:02.676770,2.019551,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
2,2025-11-10 15:58:39.960455,can_tapper35,2025-11-10 15:58:39.960455,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2025-11-10 15:58:39.960455,can_tapper35,2025-11-10 15:58:41.349946,1.389491,Engine running command,Engine Status,status,"rgb(77,175,74)"
2,2025-11-10 15:58:39.960455,can_tapper35,2025-11-10 15:58:43.403305,3.44285,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
3,2026-03-03 23:47:45.652871,can_tapper35,2026-03-03 23:47:45.652871,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2026-03-03 23:47:45.652871,can_tapper35,2026-03-03 23:47:43.745891,-1.90698,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2026-03-03 23:47:45.652871,can_tapper35,2026-03-03 23:47:47.339673,1.686802,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2026-03-24 16:22:22.757953,can_tapper35,2026-03-24 16:22:22.757953,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2026-03-24 16:22:22.757953,can_tapper35,2026-03-24 16:22:24.557013,1.79906,Engine running command,Engine Status,status,"rgb(255,127,0)"
4,2026-03-24 16:22:22.757953,can_tapper35,2026-03-24 16:22:24.672084,1.914131,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
5,2026-03-24 17:02:10.728726,can_tapper35,2026-03-24 17:02:10.728726,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2026-03-24 17:02:10.728726,can_tapper35,2026-03-24 17:02:12.318556,1.58983,Engine running command,Engine Status,status,"rgb(255,255,51)"
5,2026-03-24 17:02:10.728726,can_tapper35,2026-03-24 17:02:12.704333,1.975607,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
6,2026-03-24 17:24:46.148253,can_tapper35,2026-03-24 17:24:46.148253,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2026-03-24 17:24:46.148253,can_tapper35,2026-03-24 17:24:43.288063,-2.86019,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2026-03-24 17:24:46.148253,can_tapper35,2026-03-24 17:24:46.589500,0.441247,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2026-03-24 17:24:46.148253,can_tapper35,2026-03-24 17:24:47.723154,1.574901,Engine running command,Engine Status,status,"rgb(166,86,40)"
7,2026-03-24 17:41:27.409904,can_tapper35,2026-03-24 17:41:27.409904,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2026-03-24 17:41:27.409904,can_tapper35,2026-03-24 17:41:29.112457,1.702553,Engine running command,Engine Status,status,"rgb(247,129,191)"
7,2026-03-24 17:41:27.409904,can_tapper35,2026-03-24 17:41:29.310155,1.900251,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
8,2026-03-24 18:13:53.550300,can_tapper35,2026-03-24 18:13:53.550300,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
8,2026-03-24 18:13:53.550300,can_tapper35,2026-03-24 18:13:55.333467,1.783167,Engine running command,Engine Status,status,"rgb(153,153,153)"
8,2026-03-24 18:13:53.550300,can_tapper35,2026-03-24 18:13:55.650022,2.099722,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
9,2026-04-13 22:51:36.786184,can_tapper35,2026-04-13 22:51:36.786184,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
9,2026-04-13 22:51:36.786184,can_tapper35,2026-04-13 22:51:38.394061,1.607877,Engine running command,Engine Status,status,"rgb(228,26,28)"
9,2026-04-13 22:51:36.786184,can_tapper35,2026-04-13 22:51:38.900191,2.114007,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
10,2026-04-14 00:05:34.985366,can_tapper35,2026-04-14 00:05:34.985366,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
10,2026-04-14 00:05:34.985366,can_tapper35,2026-04-14 00:05:34.307128,-0.678238,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
10,2026-04-14 00:05:34.985366,can_tapper35,2026-04-14 00:05:36.600157,1.614791,Engine running command,Engine Status,status,"rgb(55,126,184)"
11,2026-04-14 02:00:10.261367,can_tapper35,2026-04-14 02:00:10.261367,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
11,2026-04-14 02:00:10.261367,can_tapper35,2026-04-14 02:00:11.972286,1.710919,Engine running command,Engine Status,status,"rgb(77,175,74)"
11,2026-04-14 02:00:10.261367,can_tapper35,2026-04-14 02:00:12.241468,1.980101,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
12,2026-04-14 06:16:40.998381,can_tapper35,2026-04-14 06:16:40.998381,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
12,2026-04-14 06:16:40.998381,can_tapper35,2026-04-14 06:16:43.051150,2.052769,Engine running command,Engine Status,status,"rgb(152,78,163)"
12,2026-04-14 06:16:40.998381,can_tapper35,2026-04-14 06:16:43.196609,2.198228,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
13,2026-04-14 06:37:00.509347,can_tapper35,2026-04-14 06:37:00.509347,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
13,2026-04-14 06:37:00.509347,can_tapper35,2026-04-14 06:37:02.056599,1.547252,Engine running command,Engine Status,status,"rgb(255,127,0)"
13,2026-04-14 06:37:00.509347,can_tapper35,2026-04-14 06:37:02.613196,2.103849,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
14,2026-04-14 09:31:29.583137,can_tapper35,2026-04-14 09:31:29.583137,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
14,2026-04-14 09:31:29.583137,can_tapper35,2026-04-14 09:31:31.315981,1.732844,Engine running command,Engine Status,status,"rgb(255,255,51)"
14,2026-04-14 09:31:29.583137,can_tapper35,2026-04-14 09:31:31.585683,2.002546,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
15,2026-04-14 09:49:24.849851,can_tapper35,2026-04-14 09:49:24.849851,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
15,2026-04-14 09:49:24.849851,can_tapper35,2026-04-14 09:49:26.767178,1.917327,Engine running command,Engine Status,status,"rgb(166,86,40)"
15,2026-04-14 09:49:24.849851,can_tapper35,2026-04-14 09:49:26.847908,1.998057,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
16,2026-04-14 09:53:23.324330,can_tapper35,2026-04-14 09:53:23.324330,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
16,2026-04-14 09:53:23.324330,can_tapper35,2026-04-14 09:53:24.939000,1.61467,Engine running command,Engine Status,status,"rgb(247,129,191)"
16,2026-04-14 09:53:23.324330,can_tapper35,2026-04-14 09:53:25.432184,2.107854,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
17,2026-04-14 10:42:49.710102,can_tapper35,2026-04-14 10:42:49.710102,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
17,2026-04-14 10:42:49.710102,can_tapper35,2026-04-14 10:42:51.265366,1.555264,Engine running command,Engine Status,status,"rgb(153,153,153)"
17,2026-04-14 10:42:49.710102,can_tapper35,2026-04-14 10:42:51.815806,2.105704,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
18,2026-04-14 11:50:30.370196,can_tapper35,2026-04-14 11:50:30.370196,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
