start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
0,2025-11-05 12:49:31.764789,can_tapper35,2025-11-05 12:48:31.764789,2025-11-05 12:51:31.764789,11.608333333333334,14.997941,119.849049,,957,180,288,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2025-11-05\can_tapper35-03-03-08-59-23.pcap.gz
1,2025-11-05 12:51:00.657219,can_tapper35,2025-11-05 12:50:00.657219,2025-11-05 12:53:00.657219,11.591666666666667,18.09453,72.965208,88.89243,1095,186,303,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-08-59-23.pcap.gz
2,2025-11-10 15:58:39.960455,can_tapper35,2025-11-10 15:57:39.960455,2025-11-10 16:00:39.960455,8.365,59.810683,119.882794,443259.303236,2157,421,399,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-09-59-23.pcap.gz
3,2026-03-03 23:47:45.652871,can_tapper35,2026-03-03 23:46:45.652871,2026-03-03 23:49:45.652871,14.228571428571428,59.941071,49.63917,9791345.692416,1317,257,299,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-13-59-23.pcap.gz
4,2026-03-24 16:22:22.757953,can_tapper35,2026-03-24 16:21:22.757953,2026-03-24 16:24:22.757953,17.384999999999998,59.985793,119.905654,1787677.105082,2160,387,711,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-15-59-23.pcap.gz
5,2026-03-24 17:02:10.728726,can_tapper35,2026-03-24 17:01:10.728726,2026-03-24 17:04:10.728726,17.891666666666666,59.924019,119.944181,2387.970773,2160,147,207,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-16-59-23.pcap.gz
6,2026-03-24 17:24:46.148253,can_tapper35,2026-03-24 17:23:46.148253,2026-03-24 17:26:46.148253,20.1,59.83405,119.898879,1355.419527,2157,362,501,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-16-59-23.pcap.gz
7,2026-03-24 17:41:27.409904,can_tapper35,2026-03-24 17:40:27.409904,2026-03-24 17:43:27.409904,18.0875,59.852543,119.980849,1001.261651,2158,395,490,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-17-59-23.pcap.gz
8,2026-03-24 18:13:53.550300,can_tapper35,2026-03-24 18:12:53.550300,2026-03-24 18:15:53.550300,18.19,59.999427,119.871992,1946.140396,2160,380,462,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-17-59-23.pcap.gz
9,2026-04-13 22:51:36.786184,can_tapper35,2026-04-13 22:50:36.786184,2026-04-13 22:53:36.786184,15.25,59.95185,119.905002,1744663.235884,2160,303,472,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-21-59-23.pcap.gz
10,2026-04-14 00:05:34.985366,can_tapper35,2026-04-14 00:04:34.985366,2026-04-14 00:07:34.985366,15.8,59.866017,119.7756,4438.199182,2157,281,461,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-03-23-59-23.pcap.gz
11,2026-04-14 02:00:10.261367,can_tapper35,2026-04-14 01:59:10.261367,2026-04-14 02:02:10.261367,15.45,59.866356,119.995344,6875.276001,2159,313,574,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-01-59-23.pcap.gz
12,2026-04-14 06:16:40.998381,can_tapper35,2026-04-14 06:15:40.998381,2026-04-14 06:18:40.998381,15.183333333333334,59.987372,119.867526,15390.737014,2159,306,542,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-05-59-23.pcap.gz
13,2026-04-14 06:37:00.509347,can_tapper35,2026-04-14 06:36:00.509347,2026-04-14 06:39:00.509347,15.433333333333334,59.948418,119.902157,1219.510966,2159,365,652,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-05-59-23.pcap.gz
14,2026-04-14 09:31:29.583137,can_tapper35,2026-04-14 09:30:29.583137,2026-04-14 09:33:29.583137,14.566666666666668,59.786502,119.831354,10469.07379,2157,344,575,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-08-59-23.pcap.gz
15,2026-04-14 09:49:24.849851,can_tapper35,2026-04-14 09:48:24.849851,2026-04-14 09:51:24.849851,14.866666666666665,59.949717,119.90248,1075.266714,2159,411,590,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-08-59-23.pcap.gz
16,2026-04-14 09:53:23.324330,can_tapper35,2026-04-14 09:52:23.324330,2026-04-14 09:55:23.324330,14.775,59.895222,119.953306,238.474479,2158,466,620,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-08-59-23.pcap.gz
17,2026-04-14 10:42:49.710102,can_tapper35,2026-04-14 10:41:49.710102,2026-04-14 10:44:49.710102,15.23,59.975874,119.939024,2966.385772,2160,365,531,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-09-59-23.pcap.gz
18,2026-04-14 11:50:30.370196,can_tapper35,2026-04-14 11:49:30.370196,2026-04-14 11:52:30.370196,16.15,59.900895,119.957454,4060.660094,2159,325,679,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-10-59-23.pcap.gz
19,2026-04-14 13:26:58.429373,can_tapper35,2026-04-14 13:25:58.429373,2026-04-14 13:28:58.429373,16.8875,59.898373,119.98728,5788.059177,2159,330,530,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-12-59-23.pcap.gz
20,2026-04-14 14:58:07.249872,can_tapper35,2026-04-14 14:57:07.249872,2026-04-14 15:00:07.249872,16.6,59.887999,119.972024,5468.820499,2159,461,531,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-14-59-23.pcap.gz
21,2026-04-14 21:32:57.447960,can_tapper35,2026-04-14 21:31:57.447960,2026-04-14 21:34:57.447960,19.075,59.783548,119.831843,23690.198088,2157,302,440,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-04-20-59-23.pcap.gz
22,2026-04-15 07:23:28.041422,can_tapper35,2026-04-15 07:22:28.041422,2026-04-15 07:25:28.041422,14.975,59.827268,119.798569,35430.593462,2157,333,733,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-05-06-59-23.pcap.gz
23,2026-04-15 08:26:09.052421,can_tapper35,2026-04-15 08:25:09.052421,2026-04-15 08:28:09.052421,14.959999999999999,59.894859,119.97671,3761.010999,2160,347,652,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-05-07-59-23.pcap.gz
24,2026-04-15 08:27:13.422007,can_tapper35,2026-04-15 08:26:13.422007,2026-04-15 08:29:13.422007,15.075,59.977291,119.896927,64.369586,2160,496,735,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-05-07-59-23.pcap.gz
25,2026-04-15 09:13:03.046716,can_tapper35,2026-04-15 09:12:03.046716,2026-04-15 09:15:03.046716,16.576666666666664,59.834325,119.9886,2749.624709,2158,324,557,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-05-08-59-23.pcap.gz
26,2026-04-15 09:38:04.549049,can_tapper35,2026-04-15 09:37:04.549049,2026-04-15 09:40:04.549049,17.038333333333334,59.98397,119.906105,1501.502333,2160,363,501,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-54_GNGP-53\2026-05-01\2022-09-06\can_tapper35-03-05-08-59-23.pcap.gz
